Author,Title,Publication Title,Abstract Note,Publication Year,Vignettes?,Diagnosis Scenario/Methodology Type,Confidence/Calibration Measure,Fixed Information?,Information Stages?,Information Seeking as a DV? (Binary or Continuous),Novices and Experts?,Experience as an IV/DV?,Multiple Differentials as DV?,Case Complexity?,Medical Discipline,Any IDs?,Experience Level,Experience Mix,Sample Size,Acute vs Elective,Finding Category,Notes,Finding
"Calman, N.S.; Hyman, R.B.; Licht, W.",Variability in consultation rates and practitioner level of diagnostic certainty,Journal of Family Practice,"This study examined consultations requested by six family physicians and two family nurse practi_ tioners that were directed to nine medical and surgical specialties in connection with 35,218 family practice visits made over a 19-month period in an urban family practice. Requests for consultation were scored based on the level of certainty of the referring practitioner’s diagnosis at the time o f consultation and the specificity of the consultation request. Consultation rates vary widely, even among family physicians and nurse practitioners within the same practice. The rate at which a practitioner or_ ders consultations in a specialty area increases in rela_ tion to the practitioner’s certainty o f the diagnosis at the time the consultation was requested. Diagnostic certainty is discussed as a possible indicator o f a refer_ ring practitioner’s knowledge in a specialty area, imply_ ing that the greater a practitioner’s knowledge in a spe_ cialty area, the more he or she consults with specialists in the field.",1992,No,Observational of consultations,Confidence scored based on physician notes by coders,Yes,"No, dynamic","No, but do score 'request specificity' from notes",No,No,No,No (not explicitly),GP / Family practice,No,,No,8,,Downstream Confidence / Patient Factors,,Correlation between confidence and referral rates to other specialists in other departments
"Schoenherr, Jordan Richard; Waechter, Jason; Millington, Scott J",Subjective awareness of ultrasound expertise development: individual experience as a determinant of overconfidence,Advances in Health Sciences Education,"Medical decision-making requires years of experience in order to develop an adequate level of competence to successfully engage in safe practice. While diagnostic and technical skills are essential, an awareness of the extent and limits of our own knowledge and skills is critical. The present study examines clinicians’ subjective awareness in a diagnostic cardiac ultrasound task. Clinicians answered diagnostic and treatment related questions for a range of pathologies. Following these questions, clinicians indicated their level of confidence in their response. A comparison of response accuracy and confidence revealed that clinicians were generally overconfident in their responses. Critically, we observed that a clinician’s overconfidence was negatively correlated with prior experience: clinicians that had more prior experience expressed less overconfidence in their performance such that some clinicians were in fact underconfident. We discuss the implications for training in medical education and decision-making.",2018,Yes (with scans),Cardiac ultrasound case studies,6 point scale confidence in correct identification,Yes,No,No,No,No (as a DV),No,No,Cardiology,No,,No,12,,Confidence with Experience,,Overconfidence negatively correlated with clinical experience
"Benvenuto-Andrade, C.; Dusza, S.W.; Hay, J.L.; Agero, A.L.C.; Halpern, A.C.; Kopf, A.W.; Marghoob, A.A.",Level of confidence in diagnosis: Clinical examination versus dermoscopy examination,Dermatologic Surgery,"BACKGROUND: Confidence is an important factor in decision making and may influence patient care. OBJECTIVES: To evaluate whether short-training-based dermoscopy increases confidence in the diagnosis of skin lesions. METHODS AND MATERIALS: After a 1-hour course on dermoscopy, 20 pairs of clinical and dermoscopic images of lesions were presented to 19 dermatology residents with little or no dermoscopy experience. After viewing the clinical image, they were asked to assess their confidence in the diagnosis in a seven-point scale, with 1 reflecting that the respondent was 100% confident that the lesion was benign, while number 7 reflected 100% confidence that it was malignant. The same technique was used for dermoscopic images. RESULTS: Ten of the 20 pairs of evaluations showed a significant difference (p<.05). The largest differences were observed in lesions where clinical scores suggested that participants were uncertain about the diagnosis, but tended to decide that the lesion was benign after dermoscopy. Dermoscopy did not improve confidence in the evaluation of dysplastic lesions as well as lesions with obvious clinical diagnoses. CONCLUSIONS: Short-training-based dermoscopy improved confidence in the diagnosis of clinically challenging skin lesions, but the impact was not demonstrable for clinically obvious lesions and dysplastic nevi. © 2006 by the American Society for Dermatologic Surgery, Inc. Published by Blackwell Publishing.",2006,No,20 pairs of clinical and dermoscopic images of lesions,7 point likert scale of confidence in diagnosis (whether benign or malignant),Yes,No,No,No,No (all little to no experience in dermoscopy),No,Yes,Dermatology,No,,No,19,,Decision Support / Cognitive Intervention,,Course on demoscopy did confidence in diagnosing challenging but not apparent lesions
"Leblanc, Vicki R.; Norman, Geoffrey R.; Brooks, Lee R.",Effect of a Diagnostic Suggestion on Diagnostic Accuracy and Identification of Clinical Features:,Academic Medicine,"The present study investigated whether the point at which a diagnosis is presented will influence identification of features and diagnostic accuracy. Medical students were shown head-and-shoulders photographs accompanied by short case histories and tentative diagnoses that biased them towards either the correct diagnoses or incorrect alternative diagnoses. Prior to reporting the clinical features or making any diagnostic decision in each case, they received the suggestion of a differential diagnosis (the correct one if initially biased towards the alternate one, and vice versa). If medical students attend to the early diagnosis only and ignore subsequent diagnostic suggestions, their diagnostic decisions and identification of features will favor the initially suggested diagnosis. However, if the students attend equally to diagnostic suggestions presented early and late in a clinical encounter, their diagnostic decisions and identification of features should not be influenced by the diagnosis that is suggested",2001,Yes,Scenarios with photographs with clinical features,,No,No,Yes,No,No,No (conclude to alternate diagnosis),No,Medical Students,No,,No,20,,Differential Information Intervention,Information Interpretation?,"Accuracy high when correct differential is considered early on, and then identified more correct clinical features consistent with it"
"Wood, Greg; Batt, Jeremy; Appelboam, Andrew; Harris, Adrian; Wilson, Mark R.","Exploring the Impact of Expertise, Clinical History, and Visual Search on Electrocardiogram Interpretation",Medical Decision Making,"Background: The primary aim of this study is to understand more about the perceptual-cognitive mechanisms underpinning the expert advantage in electrocardiogram (ECG) interpretation. While research has examined visual search processes in other aspects of medical decision making (e.g., radiology), this is the first study to apply the paradigm to ECG interpretation. The secondary aim is to explore the role that clinical history plays in influencing visual search behavior and diagnostic decision making. While clinical history may aid diagnostic decision making, it may also bias the visual search process. Methods: Ten final-year medical students and 10 consultant emergency medics were presented with 16 ECG traces (8 with clinical history that was not manipulated independently of case) while wearing eye tracking equipment. The ECGs represented common abnormalities encountered in emergency departments and were among those taught to final-year medical students. Participants were asked to make a diagnosis on each presented trace and report their level of diagnostic confidence. Results: Experts made significantly faster, more accurate, and more confident diagnoses, and this advantage was underpinned by differences in visual search behavior. Specifically, experts were significantly quicker at locating the leads of critical importance. Contrary to our hypothesis, clinical history had no significant effect on the readers’ ability to detect the abnormality or make an accurate diagnosis. Conclusions: Accurate ECG interpretation appears dependent on the perceptual skill of pattern recognition and specifically the time to fixate the critical lead(s). Therefore, there is potential clinical utility in developing perceptual training programs to train novices to detect abnormalities more effectively.",2014,No,ECG traces and eye tracking,1-10 confidence in diagnosis,No,No,"Yes (in the form of eye gaze, time spent looking at cues)",Yes,Yes (students and emergency medics),No,No (but manipulated is history was available),ED,No,,Yes,20,,Confidence with Experience,,"Experts made more confident diagnoses with and without histories compared to novices, were quicker to spot key cues"
"Fawver, B.; Thomas, J.L.; Drew, T.; Mills, M.K.; Auffermann, W.F.; Lohse, K.R.; Williams, A.M.",Seeing isn’t necessarily believing: Misleading contextual information influences perceptual-cognitive bias in radiologists.,Journal of Experimental Psychology: Applied,"A substantial number of medical errors in radiology are attributed to failures of perception or decision making, although it is believed that experience (or expertise) might buffer diagnosticians from some types of perceptual-cognitive bias. We examined how the quality of contextual information influences decision making and how underlying perceptual-cognitive processes change as a function of experience and diagnostic accuracy. Twenty-one radiologists dictated their findings on 16 deidentified musculoskeletal radiographic cases while wearing a mobile-eye tracking system. Patient histories were mismatched on a subset of cases to be miscued relative to the correct diagnosis. Experienced radiologists outperformed less-experienced participants, but no systematic differences in gaze behaviors emerged between groups. Miscued case notes increased perceptual-cognitive bias in both groups, resulting in an approximate 40% decrease in diagnostic accuracy. Most errors were judgment errors, meaning participants visually fixated on the abnormality for longer than a second yet still failed to make the correct diagnosis. Findings suggest a physician’s confidence in their diagnosis might be misplaced after spending insufficient time extracting relevant information from key areas of the visual display, or when decisions are based primarily on a priori expectations derived from patient histories. (PsycInfo Database Record (c) 2020 APA, all rights reserved)Public Significance Statement—This study demonstrates that the accuracy of case notes/patient histories play an important role in cueing radiologists. In addition, these data highlight the importance of spending sufficient time visually fixating on potential abnormalities to avoid perceptual-cognitive bias during diagnostic decision-making. (PsycInfo Database Record (c) 2020 APA, all rights reserved) © 2020 American Psychological Association",2020,No,16 deidentified musculoskeletal radiographic cases,5 point likert scale,Yes,No,"Yes (in the form of eye gaze, time spent looking at cues)",Yes,Yes,No,Yes (manipulated if patient histories were mismatched),Radiology,No,,No,21,,Differential Information Intervention,,Even experienced radiologists were erroneously cued to incorrect diagnoses with mistched histories
"Blissett, S.; Sibbald, M.; Kok, E.; van Merrienboer, J.",Optimizing self-regulation of performance: is mental effort a cue?,Advances in Health Sciences Education,"Accurate self-regulation of performance is important for trainees. Trainees rely on cues to make monitoring judgments to self-regulate their performance. Ideally, cues and monitoring judgements accurately reflect performance, as measured by cue diagnosticity (the ability of a cue to predict performance) and monitoring accuracy (the ability of a monitoring judgement to predict performance). However, this process is far from perfect, emphasizing the need for more accurate cues and monitoring judgements. Perhaps the mental effort of a task could be a cue used to inform certainty judgements. The purpose of this study is to measure cue utilization and cue diagnosticity of mental effort and monitoring accuracy of certainty for self-regulation of performance. Focused on the task of ECG interpretation, 22 PGY 1-3 Internal Medicine residents at McMaster University provided a diagnosis for 10 ECGs, rating their level of certainty (0–100%) and mental effort (Paas scale, 1–9). 220 ECGs completed by 22 participants were analyzed using path analysis. There was a negative moderate path coefficient between certainty and mental effort (_ = _ 0.370, p < 0.001), reflecting cue utilization. Regarding cue diagnosticity of mental effort, this was reflected in a small negative path coefficient between mental effort and diagnostic accuracy (_ = _ 0.170, p = 0.013). Regarding monitoring accuracy, a moderate path coefficient was observed between certainty and diagnostic accuracy (_ = 0.343, p < 0.001). Our results support mental effort as a cue and certainty as a monitoring judgement for self-regulated performance. Yet, reported correlations are not very high. Future research is needed to identify additional cues. © 2018, Springer Nature B.V.",2018,No,ECG interpretation,0-100% certainty,Yes,No,No,No,No,No,No,Internal Medicine,No,,No,22,,Case Complexity Factors,,"Measured mental effort using Paas scale, certainty associated with mental effort and effort slightly associated with accuracy. "
"Fernandez-Aguilar, Carmen; Martin-Martin, Jose Jesus; Minue Lorenzo, Sergio; Fernandez Ajuria, Alberto",Use of heuristics during the clinical decision process from family care physicians in real conditions.,Journal of evaluation in clinical practice,"RATIONALE AIMS AND OBJECTIVES: The available evidence on the use of heuristics and their relationship with diagnostic error in primary care is very limited. The aim of the study is to identify the use of unknown thought and specifically the possible use of Representativeness, Availability and overconfidence heuristics in the clinical practice of primary care physicians in cases of dyspnoea and to analyse their possible relationship with diagnostic error., METHODS: A total of 371 patients consulting with new episodes of dyspnoea in Primary Care centres in Spain were registered. Based on specific operational definitions, the use of unconscious thinking and the use of heuristics during the diagnostic process were assessed. Subsequently, the association between their use and diagnostic error was analysed., RESULTS: In 49.6% of cases, the confirmatory diagnosis coincided with the first diagnostic impression, suggesting the use of the representativeness heuristic in the diagnostic decision process. In 82.3% of the cases, the confirmatory diagnosis was among the three diagnostic hypotheses that were first identified by the general physicians, suggesting a possible use of the availability heuristic. In more than 50% of the cases, the physicians were overconfident in the certainty of their own diagnosis. Finally, a diagnostic error was identified in 9.9% of the recorded cases and no statistically significant correlation was found between the use of some unconscious thinking tools (such as the use of heuristics) and the diagnostic error., CONCLUSION: Unconscious thinking manifested through the acceptance of the first diagnostic impression and the use of heuristics is commonly used by primary care physicians in the clinical decision process in the face of new episodes of dyspnoea; however, its influence on diagnostic error is not significant. The proposed explicit and reproducible methodology may inspire further studies to confirm these results. Copyright © 2021 The Authors. Journal of Evaluation in Clinical Practice published by John Wiley & Sons Ltd.",2022,No,Real patients presenting with dyspnoea,0-100% scale confidence in diagnosis,No,"No, dynamic",No,No,No,"Yes (First Diagnostic Impression, Differential Diagnosis, Diagnostic Judgement and Confirmatory Diagnosis)",No (not explicitly),Primary Care,No,,No,23,,Downstream Confidence / Patient Factors,,"Evidence of overconfidence biases, not significant link between diagnostic errors and biases"
"Frey, J.; Braun, L. T.; Handgriff, L.; Kendziora, B.; Fischer, M. R.; Reincke, M.; Zwaan, L.; Schmidmaier, R.","Insights into diagnostic errors in endocrinology: a prospective, case-based, international study",BMC Medical Education,"Background: Diagnostic errors in internal medicine are common. While cognitive errors have previously been identified to be the most common contributor to errors, very little is known about errors in specific fields of internal medicine such as endocrinology. This prospective, multicenter study focused on better understanding the causes of diagnostic errors made by general practitioners and internal specialists in the area of endocrinology. Methods: From August 2019 until January 2020, 24 physicians completed five endocrine cases on an online platform that simulated the diagnostic process. After each case, the participants had to state and explain why they chose their assumed diagnosis. The data gathering process as well as the participants’ explanations were quantitatively and qualitatively analyzed to determine the causes of the errors. The diagnostic processes in correctly and incorrectly solved cases were compared. Results: Seven different causes of diagnostic error were identified, the most frequent being misidentification (mistaking one diagnosis with a related one or with more frequent and similar diseases) in 23% of the cases. Other causes were faulty context generation (21%) and premature closure (17%). The diagnostic confidence did not differ between correctly and incorrectly solved cases (median 8 out of 10, p = 0.24). However, in incorrectly solved cases, physicians spent less time on the technical findings (such as lab results, imaging) (median 250 s versus 199 s, p < 0.049). Conclusions: The causes for errors in endocrine case scenarios are similar to the causes in other fields of internal medicine. Spending more time on technical findings might prevent misdiagnoses in everyday clinical practice. © 2023, The Author(s).",2023,Yes,5 patient cases,1-10 confidence in diagnosis,Yes,No,No,No,No,Yes but you can offer a diagnostic explanation which is basically a sentence ,No,Endocrinology,No,,No,24,,Imaging Increasing Confidence,,"Confidence did not differ between correct and incorrect, but incorrect cases were associated with less time spent on lab results and imaging "
"Ben-Assuli, O.; Sagi, D.; Leshno, M.; Ironi, A.; Ziv, A.",Improving diagnostic accuracy using EHR in emergency departments: A simulation-based study,Journal of Biomedical Informatics,"It is widely believed that Electronic Health Records (EHR) improve medical decision-making by enabling medical staff to access medical information stored in the system. It remains unclear, however, whether EHR indeed fulfills this claim under the severe time constraints of Emergency Departments (EDs). We assessed whether accessing EHR in an ED actually improves decision-making by clinicians. A simulated ED environment was created at the Israel Center for Medical Simulation (MSR). Four different actors were trained to simulate four specific complaints and behavior and 'consulted' 26 volunteer ED physicians. Each physician treated half of the cases (randomly) with access to EHR, and their medical decisions were compared to those where the physicians had no access to EHR. Comparison of diagnostic accuracy with and without access showed that accessing the EHR led to an increase in the quality of the clinical decisions. Physicians accessing EHR were more highly informed and thus made more accurate decisions. The percentage of correct diagnoses was higher and these physicians were more confident in their diagnoses and made their decisions faster. © 2015 Elsevier Inc.",2015,Yes,Simulated patient scenarios with actors for presenting complaints,7 point likert scale of confidence in diagnosis,Yes,No,No,No,No,No,No (but manipulated whether there was access to EHR),Emergency Medicine,No,,No,26,,Differential Information Intervention,,More confident and accurate with EHRs
