participantID,trialNum,stage,stageName,trueCondition,differentials,correct,correctDiagnosisText,correctDiagnosisIdx,highestLikelihoodValue,highestLikelihoodDifferential,highestLikelihoodCorrect
17wpsm,1,1,Patient History,GUILLAIN-BARRE SYNDROME,"STROKE, TIA, CAUDA EQUINA SYNDROME, CERVICAL MYELOPATHY",1,CAUDA EQUINA SYNDROME,3,7,STROKE,0
17wpsm,1,2,Physical Exmination,GUILLAIN-BARRE SYNDROME,"STROKE, TIA, CAUDA EQUINA SYNDROME, CERVICAL MYELOPATHY, ENCEPHALITIS",1,CAUDA EQUINA SYNDROME,3,4,"TIA, ENCEPHALITIS",0
17wpsm,1,3,Testing,GUILLAIN-BARRE SYNDROME,"STROKE, TIA, ENCEPHALITIS, TRANSVERSE MYELITIS",0,0,0,5,TRANSVERSE MYELITIS,0
17wpsm,2,1,Patient History,ULCERATIVE COLITIS,"DIVERTICULITIS, BOWEL CANCER, GASTROENTERITIS",1,DIVERTICULITIS,1,8,DIVERTICULITIS,1
17wpsm,2,2,Physical Exmination,ULCERATIVE COLITIS,"DIVERTICULITIS, BOWEL CANCER, GASTROENTERITIS",1,DIVERTICULITIS,1,9,DIVERTICULITIS,1
17wpsm,2,3,Testing,ULCERATIVE COLITIS,"DIVERTICULITIS, BOWEL CANCER, GASTROENTERITIS",1,DIVERTICULITIS,1,9,GASTROENTERITIS,0
17wpsm,3,1,Patient History,MILIARY TB,"NEUTROPAENIC SEPSIS, ABSCESS",0,0,0,5,NEUTROPAENIC SEPSIS,0
17wpsm,3,2,Physical Exmination,MILIARY TB,"NEUTROPAENIC SEPSIS, ABSCESS, SPONTANEOUS BACTERIAL PERITONITIS",0,0,0,6,SPONTANEOUS BACTERIAL PERITONITIS,0
17wpsm,3,3,Testing,MILIARY TB,"ABSCESS, SPONTANEOUS BACTERIAL PERITONITIS, HEPATITIS, HEART FAILURE",0,0,0,4,HEPATITIS,0
17wpsm,4,1,Patient History,THROMBOTIC THROMBOCYTOPENIC PURPURA,"ENCEPHALITIS, MENINGITIS",1,MENINGITIS,2,7,ENCEPHALITIS,0
17wpsm,4,2,Physical Exmination,THROMBOTIC THROMBOCYTOPENIC PURPURA,"ENCEPHALITIS, MENINGITIS",1,MENINGITIS,2,7,ENCEPHALITIS,0
17wpsm,4,3,Testing,THROMBOTIC THROMBOCYTOPENIC PURPURA,"ENCEPHALITIS, MENINGITIS",1,MENINGITIS,2,3,"ENCEPHALITIS, MENINGITIS",1
17wpsm,5,1,Patient History,AORTIC DISSECTION,"HEART FAILURE, LUNG CANCER, AORTIC DISSECTION",1,AORTIC DISSECTION,3,5,LUNG CANCER,0
17wpsm,5,2,Physical Exmination,AORTIC DISSECTION,"HEART FAILURE, LUNG CANCER, AORTIC DISSECTION, AORTIC COARCTATION",1,AORTIC DISSECTION,3,4,AORTIC COARCTATION,1
17wpsm,5,3,Testing,AORTIC DISSECTION,"HEART FAILURE, LUNG CANCER, AORTIC DISSECTION, AORTIC COARCTATION",1,AORTIC DISSECTION,3,5,AORTIC COARCTATION,1
17wpsm,6,1,Patient History,TEMPORAL ARTERITIS,"POLYMYALGIA RHEUMATICA, INFECTION",1,POLYMYALGIA RHEUMATICA,1,3,"POLYMYALGIA RHEUMATICA, INFECTION",1
17wpsm,6,2,Physical Exmination,TEMPORAL ARTERITIS,INFECTION,0,0,0,6,INFECTION,0
17wpsm,6,3,Testing,TEMPORAL ARTERITIS,INFECTION,0,0,0,7,INFECTION,0
1p7vnf,1,1,Patient History,GUILLAIN-BARRE SYNDROME,"CAUSE EQUINE SYNDROME, GBS, TRANSVERSE MYELITIS ",1,GBS,2,6,GBS,1
1p7vnf,1,2,Physical Exmination,GUILLAIN-BARRE SYNDROME,"CAUSE EQUINE SYNDROME, GBS, TRANSVERSE MYELITIS",1,GBS,2,7,GBS,1
1p7vnf,1,3,Testing,GUILLAIN-BARRE SYNDROME,"CAUSE EQUINE SYNDROME, GBS, TRANSVERSE MYELITIS",1,GBS,2,8,GBS,1
1p7vnf,2,1,Patient History,AORTIC DISSECTION,"PULMONARY EMBOLISM, PNEUMONIA, TUBERCULOSIS , AORTIC STENOSIS , HOCM, AORTIC DISSECTION , COARCTATION OF THE AORTA , AORTIC ANEURYSM ",0,0,0,4,PNEUMONIA,0
1p7vnf,2,2,Physical Exmination,AORTIC DISSECTION,"PULMONARY EMBOLISM, PNEUMONIA, TUBERCULOSIS, AORTIC STENOSIS, HOCM, AORTIC DISSECTION, COARCTATION OF THE AORTA, AORTIC ANEURYSM, HAEMOCHROMATOSIS, LOWER UTI",1,AORTIC DISSECTION,6,4,HOCM,0
1p7vnf,2,3,Testing,AORTIC DISSECTION,"PULMONARY EMBOLISM, PNEUMONIA, TUBERCULOSIS, AORTIC STENOSIS, HOCM, AORTIC DISSECTION, COARCTATION OF THE AORTA, AORTIC ANEURYSM, HAEMOCHROMATOSIS, LOWER UTI",1,AORTIC DISSECTION,6,6,LOWER UTI,0
1p7vnf,3,1,Patient History,ULCERATIVE COLITIS,"DIVERTICULITIS, BOWEL CANCER, INFECTIVE GASTROENTERITIS, MESENTERIC ISCHEMIC, ISCHEMIC COLITIS",1,DIVERTICULITIS,1,4,DIVERTICULITIS,1
1p7vnf,3,2,Physical Exmination,ULCERATIVE COLITIS,"DIVERTICULITIS, BOWEL CANCER, INFECTIVE COLITIS , INFLAMMATORY BOWEL DISEASE",1,DIVERTICULITIS,1,5,DIVERTICULITIS,1
1p7vnf,3,3,Testing,ULCERATIVE COLITIS,"DIVERTICULITIS, BOWEL CANCER, INFECTIVE COLITIS, INFLAMMATORY BOWEL DISEASE",1,DIVERTICULITIS,1,5,DIVERTICULITIS,1
1p7vnf,4,1,Patient History,THROMBOTIC THROMBOCYTOPENIC PURPURA,"ENCEPHALITIS, STROKE, MENINGITIS",0,0,0,8,ENCEPHALITIS,0
1p7vnf,4,2,Physical Exmination,THROMBOTIC THROMBOCYTOPENIC PURPURA,"ENCEPHALITIS, TTP",0,0,0,8,ENCEPHALITIS,0
1p7vnf,4,3,Testing,THROMBOTIC THROMBOCYTOPENIC PURPURA,"ENCEPHALITIS, TTP",1,TTP,2,8,TTP,1
1p7vnf,5,1,Patient History,MILIARY TB,"AML, NEUTROPENIC SEPSIS",0,0,0,8,AML,0
1p7vnf,5,2,Physical Exmination,MILIARY TB,"AML, NEUTROPENIC SEPSIS",0,0,0,6,AML,0
1p7vnf,5,3,Testing,MILIARY TB,"AML, NEUTROPENIC SEPSIS",0,0,0,6,AML,0
1p7vnf,6,1,Patient History,TEMPORAL ARTERITIS,"RHEUMATOID ARTHRITIS, REACTIVE ARTHRITIS, ADULT ONSET STILL'S DISEASE, RHEUMATIC FEVER, SYSTEMIC SCLEROSIS",1,RHEUMATOID ARTHRITIS,1,4,"RHEUMATOID ARTHRITIS, REACTIVE ARTHRITIS",1
1p7vnf,6,2,Physical Exmination,TEMPORAL ARTERITIS,"RHEUMATOID ARTHRITIS, REACTIVE ARTHRITIS, ADULT ONSET STILL'S DISEASE, RHEUMATIC FEVER, SYSTEMIC SCLEROSIS",1,RHEUMATOID ARTHRITIS,1,5,REACTIVE ARTHRITIS,0
1p7vnf,6,3,Testing,TEMPORAL ARTERITIS,"RHEUMATOID ARTHRITIS, REACTIVE ARTHRITIS, ADULT ONSET STILL'S DISEASE, RHEUMATIC FEVER, SYSTEMIC SCLEROSIS",1,RHEUMATOID ARTHRITIS,1,4,"RHEUMATOID ARTHRITIS, REACTIVE ARTHRITIS",1
21njc9,1,1,Patient History,THROMBOTIC THROMBOCYTOPENIC PURPURA,"MENINGITIS, ENCEPHALITIS, SUBARACHNOID HAEMORRHAGE, SEPSIS, STROKE, BRAIN ANEURYSM",1,MENINGITIS,1,9,"MENINGITIS, ENCEPHALITIS",1
21njc9,1,2,Physical Exmination,THROMBOTIC THROMBOCYTOPENIC PURPURA,"MENINGITIS, ENCEPHALITIS, SUBARACHNOID HAEMORRHAGE, SEPSIS, STROKE, BRAIN ANEURYSM",1,MENINGITIS,1,9,"MENINGITIS, ENCEPHALITIS",1
21njc9,1,3,Testing,THROMBOTIC THROMBOCYTOPENIC PURPURA,"MENINGITIS, ENCEPHALITIS, SUBARACHNOID HAEMORRHAGE, SEPSIS, STROKE, BRAIN ANEURYSM, HAEMOLYTIC UREMIC SYNDROME, AUTOIMMUNE HAEMOLYTIC ANAEMIA",1,MENINGITIS,1,9,HAEMOLYTIC UREMIC SYNDROME,0
21njc9,2,1,Patient History,TEMPORAL ARTERITIS,"SEPTIC ARTHRITIS, POLYMYALGIA RHUMATICA, OSTEOARTHRITIS, REACTIVE ARTHRITIS",1,POLYMYALGIA RHUMATICA,2,9,SEPTIC ARTHRITIS,1
21njc9,2,2,Physical Exmination,TEMPORAL ARTERITIS,"SEPTIC ARTHRITIS, POLYMYALGIA RHUMATICA, OSTEOARTHRITIS, REACTIVE ARTHRITIS, TEMPORAL ARTERITIS",1,POLYMYALGIA RHUMATICA,2,9,"POLYMYALGIA RHUMATICA, TEMPORAL ARTERITIS",1
