participantID,trialNum,stage,stageName,trueCondition,requestedTests,likelihoodChange,uniqueTests,pastTests,currentTests,possibleTest,proportionOfInfo,testNames,numOfDifferentials,confidence,perceivedDifficulty,highestSeverity,highestLikelihood,likelihoods,severities,sevOfHighestLikelihood,treatmentPlan,differentials,correct,correctDiagnosisText,correctDiagnosisIdx,highestLikelihoodValue,highestLikelihoodDifferential,highestLikelihoodCorrect
17wpsm,1,1,Patient History,GUILLAINBARRE SYNDROME,6,0,6,0,6,6,1,"Present Illness History, Past Medical History, Medication, Social History, Family History, Allergies",4,0,9,3,7,"7, 4, 2, 5","3, 0, 3, 1",3,Not Provided,"STROKE, TIA, CAUDA EQUINA SYNDROME, CERVICAL MYELOPATHY",1,CAUDA EQUINA SYNDROME,3,7,STROKE,0
17wpsm,1,2,Physical Exmination,GUILLAINBARRE SYNDROME,9,0,8,1,7,13,0.538461538,"Neurologic Exam Record, Present Illness History, Assess Head, Measure Blood Pressure, Assess Extremities, Take Pulse, Measure Temperature, Assess Eyes",5,0,9,3,4,"2, 4, 2, 2, 4","3, 0, 3, 1, 2",0,Not Provided,"STROKE, TIA, CAUDA EQUINA SYNDROME, CERVICAL MYELOPATHY, ENCEPHALITIS",1,CAUDA EQUINA SYNDROME,3,4,"TIA, ENCEPHALITIS",0
17wpsm,1,3,Testing,GUILLAINBARRE SYNDROME,6,0,6,0,6,10,0.6,"Venous Blood Gas, CRP and ESR, UREA and Electrolytes, Abdominal CT Scan, FBC, Other Biochemistry Tests",4,0.06,9,3,5,"2, 4, 4, 5","3, 0, 2, 1",1,Not Provided,"STROKE, TIA, ENCEPHALITIS, TRANSVERSE MYELITIS",0,0,0,5,TRANSVERSE MYELITIS,0
17wpsm,2,1,Patient History,ULCERATIVE COLITIS,6,0,6,0,6,6,1,"Present Illness History, Past Medical History, Family History, Allergies, Medication, Social History",3,0.1,6,2,8,"8, 3, 4","1, 2, 1",1,Not Provided,"DIVERTICULITIS, BOWEL CANCER, GASTROENTERITIS",1,DIVERTICULITIS,1,8,DIVERTICULITIS,1
17wpsm,2,2,Physical Exmination,ULCERATIVE COLITIS,5,0,5,0,5,13,0.384615385,"Abdomen Examination, Rectal Examination, Measure Blood Pressure, Take Pulse, Measure Temperature",3,0.19,6,2,9,"9, 2, 4","1, 2, 1",1,Not Provided,"DIVERTICULITIS, BOWEL CANCER, GASTROENTERITIS",1,DIVERTICULITIS,1,9,DIVERTICULITIS,1
17wpsm,2,3,Testing,ULCERATIVE COLITIS,5,0,5,0,5,10,0.5,"Abdominal CT Scan, UREA and Electrolytes, FBC, Venous Blood Gas, CRP and ESR",3,0.55,6,2,9,"2, 2, 9","1, 2, 1",1,"IV fluids and electrolyte replacement
Consider empirical antibiotics - discuss with infectious diseases
Stool sample for culture","DIVERTICULITIS, BOWEL CANCER, GASTROENTERITIS",1,DIVERTICULITIS,1,9,GASTROENTERITIS,0
17wpsm,3,1,Patient History,MILIARY TB,4,0,4,0,4,6,0.666666667,"Past Medical History, Present Illness History, Medication, Social History",2,0,8,3,5,"5, 3","3, 2",3,Not Provided,"NEUTROPAENIC SEPSIS, ABSCESS",0,0,0,5,NEUTROPAENIC SEPSIS,0
17wpsm,3,2,Physical Exmination,MILIARY TB,9,0,9,2,7,13,0.538461538,"Past Medical History, Present Illness History, Measure Temperature, Neck/Throat Examination, Take Pulse, Measure Blood Pressure, Abdomen Examination, Neurologic Exam Record, Assess Extremities",3,0.09,8,3,6,"5, 3, 6","3, 2, 2",2,Not Provided,"NEUTROPAENIC SEPSIS, ABSCESS, SPONTANEOUS BACTERIAL PERITONITIS",0,0,0,6,SPONTANEOUS BACTERIAL PERITONITIS,0
17wpsm,3,3,Testing,MILIARY TB,12,0,8,1,7,10,0.7,"Abdominal CT Scan, Other Biochemistry Tests, Chest X-Ray, Auscultate the Heart, FBC, Venous Blood Gas, UREA and Electrolytes, Urine Dipstick",4,0.05,8,2,4,"2, 2, 4, 3","2, 2, 1, 2",1,Not Provided,"ABSCESS, SPONTANEOUS BACTERIAL PERITONITIS, HEPATITIS, HEART FAILURE",0,0,0,4,HEPATITIS,0
17wpsm,4,1,Patient History,THROMBOTIC THROMBOCYTOPENIC PURPURA,7,0,6,0,6,6,1,"Present Illness History, Past Medical History, Social History, Medication, Allergies, Family History",2,0.11,10,2,7,"7, 3","2, 2",2,Not Provided,"ENCEPHALITIS, MENINGITIS",1,MENINGITIS,2,7,ENCEPHALITIS,0
17wpsm,4,2,Physical Exmination,THROMBOTIC THROMBOCYTOPENIC PURPURA,7,0,7,0,7,13,0.538461538,"Assess Head, Neurologic Exam Record, Measure Temperature, Neck/Throat Examination, Take Pulse, Measure Blood Pressure, Assess Extremities",2,0.12,10,2,7,"7, 3","2, 2",2,Not Provided,"ENCEPHALITIS, MENINGITIS",1,MENINGITIS,2,7,ENCEPHALITIS,0
17wpsm,4,3,Testing,THROMBOTIC THROMBOCYTOPENIC PURPURA,12,0,10,0,10,10,1,"FBC, Clotting Test, CRP and ESR, Venous Blood Gas, UREA and Electrolytes, Urine Dipstick, Other Biochemistry Tests, Chest X-Ray, Abdominal CT Scan, ECG",2,0.01,10,2,3,"3, 3","2, 2",2,Not Provided,"ENCEPHALITIS, MENINGITIS",1,MENINGITIS,2,3,"ENCEPHALITIS, MENINGITIS",1
17wpsm,5,1,Patient History,AORTIC DISSECTION,6,0,6,0,6,6,1,"Present Illness History, Past Medical History, Medication, Allergies, Family History, Social History",3,0.02,7,3,5,"4, 5, 2","2, 2, 3",2,Not Provided,"HEART FAILURE, LUNG CANCER, AORTIC DISSECTION",1,AORTIC DISSECTION,3,5,LUNG CANCER,0
17wpsm,5,2,Physical Exmination,AORTIC DISSECTION,10,0,7,0,7,13,0.538461538,"Auscultate Lungs, Auscultate the Heart, Abdomen Examination, Assess Extremities, Assess Eyes, Take Pulse, Measure Blood Pressure",4,0.03,7,3,4,"2, 3, 2, 4","2, 2, 3, 1",1,Not Provided,"HEART FAILURE, LUNG CANCER, AORTIC DISSECTION, AORTIC COARCTATION",1,AORTIC DISSECTION,3,4,AORTIC COARCTATION,1
17wpsm,5,3,Testing,AORTIC DISSECTION,4,0,4,0,4,10,0.4,"Chest X-Ray, ECG, FBC, Venous Blood Gas",4,0.33,7,3,5,"2, 3, 2, 5","2, 2, 3, 1",1,"Refer to cardiology
Echocardiogram","HEART FAILURE, LUNG CANCER, AORTIC DISSECTION, AORTIC COARCTATION",1,AORTIC DISSECTION,3,5,AORTIC COARCTATION,1
17wpsm,6,1,Patient History,TEMPORAL ARTERITIS,7,0,6,0,6,6,1,"Present Illness History, Past Medical History, Social History, Allergies, Family History, Medication",2,0,7,2,3,"3, 3","1, 2",1,Not Provided,"POLYMYALGIA RHEUMATICA, INFECTION",1,POLYMYALGIA RHEUMATICA,1,3,"POLYMYALGIA RHEUMATICA, INFECTION",1
17wpsm,6,2,Physical Exmination,TEMPORAL ARTERITIS,10,0,9,0,9,13,0.692307692,"Assess Extremities, Neck/Throat Examination, Auscultate the Heart, Take Pulse, Neurologic Exam Record, Abdomen Examination, Measure Blood Pressure, Auscultate Lungs, Measure Temperature",1,0.09,7,2,6,6,2,2,Not Provided,INFECTION,0,0,0,6,INFECTION,0
17wpsm,6,3,Testing,TEMPORAL ARTERITIS,5,0,4,0,4,10,0.4,"CRP and ESR, Other Biochemistry Tests, Venous Blood Gas, FBC",1,0.19,7,2,7,7,2,2,"Give fluids and antibiotics
Take blood culture
Consult infectious diseases",INFECTION,0,0,0,7,INFECTION,0
1p7vnf,1,1,Patient History,GUILLAINBARRE SYNDROME,7,0,6,0,6,6,1,"Present Illness History, Past Medical History, Medication, Family History, Social History, Allergies",2,0.18,2,3,6,"3, 6","3, 2",2,Not Provided,"CAUSE EQUINE SYNDROME, GBS, TRANSVERSE MYELITIS ",1,GBS,2,6,GBS,1
1p7vnf,1,2,Physical Exmination,GUILLAINBARRE SYNDROME,11,0,11,0,11,13,0.846153846,"Neurologic Exam Record, Measure Temperature, Rectal Examination, Measure Blood Pressure, Take Pulse, Neck/Throat Examination, Assess Respiratory Rate, Auscultate Lungs, Assess Head, Assess Extremities, Assess Eyes",3,0.54,2,3,7,"2, 7, 3","3, 2, 1",2,Not Provided,"CAUSE EQUINE SYNDROME, GBS, TRANSVERSE MYELITIS",1,GBS,2,7,GBS,1
1p7vnf,1,3,Testing,GUILLAINBARRE SYNDROME,4,0,4,0,4,10,0.4,"FBC, Other Biochemistry Tests, Chest X-Ray, CRP and ESR",3,0.68,2,3,8,"2, 8, 3","3, 2, 1",2,Not Provided,"CAUSE EQUINE SYNDROME, GBS, TRANSVERSE MYELITIS",1,GBS,2,8,GBS,1
1p7vnf,2,1,Patient History,AORTIC DISSECTION,0,0,0,0,0,6,0,,2,0.14,8,2,4,"3, 4","2, 1",1,Not Provided,"PULMONARY EMBOLISM, PNEUMONIA, TUBERCULOSIS , AORTIC STENOSIS , HOCM, AORTIC DISSECTION , COARCTATION OF THE AORTA , AORTIC ANEURYSM ",0,0,0,4,PNEUMONIA,0
