participantID,trialNum,stage,stageName,trueCountry,infoRequests,information,differentials,correct,correctCountryText,correctCountryIdx
5739859f12d1d8000735c216,1,1,1. Geography,SOUTH KOREA,3,"Native Animals, % area that is covered by forest, Time Zone (UTC)","KOREA, JAPAN",1,KOREA,1
5739859f12d1d8000735c216,1,2,2. Economy & Politics,SOUTH KOREA,10,"Time Zone (UTC), Is the country landlocked?, % area that is water, Average Temperature (between 1991-2020), Average Rainfall in 2017 (mm per year), Does the country have a monarchy?, World Happiness Ranking, Is the country a member of the OECD, NATO and/or UN?, Most Exported Food Products, Gini Index for Income Inequality","KOREA, JAPAN",1,KOREA,1
5739859f12d1d8000735c216,1,3,3. People & Culture,SOUTH KOREA,6,"Population Density, Most Prevalent Religion, Overall population, Population in the capital city, Number of medals at the Tokyo Olympics, Which side of the road do people drive on?","KOREA, JAPAN",1,KOREA,1
5739859f12d1d8000735c216,2,1,1. Geography,MONGOLIA,3,"Number of other countries it shares a land border with, Native Animals, Average Temperature (between 1991-2020)",MONGOLIA,1,MONGOLIA,1
5739859f12d1d8000735c216,2,2,2. Economy & Politics,MONGOLIA,6,"Global Passport Power Rank (2022), Most Exported Food Products, Gini Index for Income Inequality, Is the country a member of the OECD, NATO and/or UN?, Does the country have a monarchy?, World Happiness Ranking",MONGOLIA,1,MONGOLIA,1
5739859f12d1d8000735c216,2,3,3. People & Culture,MONGOLIA,1,Most Prevalent Religion,MONGOLIA,1,MONGOLIA,1
5739859f12d1d8000735c216,3,1,1. Geography,SWITZERLAND,8,"Is the country landlocked?, Average Temperature (between 1991-2020), Time Zone (UTC), % area that is water, Native Animals, Number of other countries it shares a land border with, Highest Point, Average Rainfall in 2017 (mm per year)",SWITZERLAND,1,SWITZERLAND,1
5739859f12d1d8000735c216,3,2,2. Economy & Politics,SWITZERLAND,8,"World Happiness Ranking, Does the country have a monarchy?, Gini Index for Income Inequality, GDP per capita in 2022, Does their government have a prime minister?, Global Passport Power Rank (2022), Most Exported Food Products, The Economist's Democracy Index Rating",SWITZERLAND,1,SWITZERLAND,1
5739859f12d1d8000735c216,3,3,3. People & Culture,SWITZERLAND,0,NA,SWITZERLAND,1,SWITZERLAND,1
5739859f12d1d8000735c216,4,1,1. Geography,GREECE,10,"Native Animals, Is the country landlocked?, Average Temperature (between 1991-2020), % area that is covered by forest, % area that is water, Area, Number of other countries it shares a land border with, Average Rainfall in 2017 (mm per year), Time Zone (UTC), Highest Point",POLAND,0,0,0
5739859f12d1d8000735c216,4,2,2. Economy & Politics,GREECE,0,NA,POLAND,0,0,0
5739859f12d1d8000735c216,4,3,3. People & Culture,GREECE,0,NA,POLAND,0,0,0
5739859f12d1d8000735c216,5,1,1. Geography,COLOMBIA,1,Time Zone (UTC),COLOMBIA,1,COLOMBIA,1
5739859f12d1d8000735c216,5,2,2. Economy & Politics,COLOMBIA,2,"Gini Index for Income Inequality, GDP per capita in 2022",COLOMBIA,1,COLOMBIA,1
5739859f12d1d8000735c216,5,3,3. People & Culture,COLOMBIA,3,"Population Density, Most Prevalent Religion, Most Prevalent Religion",COLOMBIA,1,COLOMBIA,1
5739859f12d1d8000735c216,6,1,1. Geography,BOTSWANA,2,"Is the country landlocked?, Average Temperature (between 1991-2020)",CAR,0,0,0
5739859f12d1d8000735c216,6,2,2. Economy & Politics,BOTSWANA,4,"Does the country have a monarchy?, Gini Index for Income Inequality, Is the country a member of the OECD, NATO and/or UN?, Does their government have a prime minister?","CAR, UGANDA",0,0,0
5739859f12d1d8000735c216,6,3,3. People & Culture,BOTSWANA,0,NA,"CAR, UGANDA",0,0,0
57507e67fcaa630007cb9ad2,1,1,1. Geography,COLOMBIA,3,"Area, % area that is covered by forest, Is the country landlocked?","VENEZUELA, BOLIVIA, COLUMBIA",1,COLUMBIA,3
57507e67fcaa630007cb9ad2,1,2,2. Economy & Politics,COLOMBIA,1,Most Exported Food Products,"VENEZUELA, BOLIVIA, COLUMBIA",1,COLUMBIA,3
57507e67fcaa630007cb9ad2,1,3,3. People & Culture,COLOMBIA,2,"Number of Colours in the country's flag, Overall population","VENEZUELA, BOLIVIA, COLUMBIA",1,COLUMBIA,3
