PROLIFIC_PID,What is the capital of Finland?,Which of these is landlocked?,King Felipe VI is the monarch for which of these countries?,Which of these countries is NOT on the west coast of Africa?,The origin of the Euphrates river is in which modern day country?,Which of these is the world’s highest Peak?,Which of these countries’ flags is not rectangular?,Which of these countries does NOT cross the Equator?,Which of these countries has a population of over 20 million?,Kuala Lumpur is the capital of which country?,Which of these countries has more cars than people?,Which of these is NOT the name of one of the three major island groups in the Pacific Ocean?,Which of these volcanoes lies on the east coast of Sicily?,Transylvania is a region in which country?,What is the capital of Brazil?,What colour is the star on the flag of Ghana?,Which of these countries does Kazakhstan NOT border?,How many countries are there with the word “Guinea” in their name?,Which of these countries does NOT have a ‘dollar’ as a form of currency?,Which of these rivers does NOT pass through China?,"Tokyo, Osaka and Kyoto are cities in which country?",Which ocean separates the eastern coast of USA and Western Europe?,The Amazon Rainforest is in which continent?,Which of these is NOT a US state?,Poland’s flag has stripes of two colours: white and which colour?,Which of these deserts are in South America?,Madagascar is a country in which continent?,"The Angkor Wat is the largest religious monument in the world, located in which country?",Which of these countries’ flags has a tree?,The 2008 Olympics were held in which country?,Which country has won more FIFA world cups than any other country?,What did Ceylon change its name to in 1972?,What is the capital of Canada?,"To the nearest billion, how large is the world's population?",What is the name of the microstate located between Spain and France?,What is the name of the largest river to flow through Paris?,Constantinople and Byzantium are former names of which major city?,What African country has the largest population?,The Union Jack is the name of the flag of which country?,Christ the Redeemer is a statue in which country?,Score
5f47e34858dd331165bf9f00,Copenhagen,Latvia,Spain,Senegal,UAE,Everest,Sri Lanka,Kenya,Ecuador,Philippines,Monaco,Melanesia,Vesuvius,Romania,,White,Uzbekistan,3,Vietnam,Irtysh,Japan,Atlantic,South America,Newfoundland,Red,Kalahari,Africa,Thailand,New Zealand,UK,Germany,Bangladesh,Quebec,7 billion,Liechtenstein,Seine,Rome,South Africa,Canada,Brazil,12
60fd1522d28b7e355e53b97d,Helsinki,Serbia,France,Guinea,Jordan,Everest,Bhutan,Indonesia,Ecuador,Malaysia,Monaco,Micronesia,Etna,Czechia,Rio de Janeiro,White,Uzbekistan,2,Hong Kong,Amur,Japan,Pacific,North America,Newfoundland,Yellow,Kalahari,South America,Cambodia,Lebanon,China,Argentina,India,Toronto,9 billion,Luxenbourg,Seine,Rome,South Africa,UK,Canada,12
5d0cb088d850850001c1cf6e,Helsinki,Serbia,Portugal,Zambia,Jordan,Everest,Bhutan,India,Ecuador,Indonesia,US,Odesia,Vesuvius,Romania,Rio de Janeiro,Black,,4,Vietnam,Yenisei,Japan,Atlantic,North America,Newfoundland,Red,Great Basin,Africa,Laos,New Zealand,Australia,Argentina,Bangladesh,Toronto,8 billion,Liechtenstein,Seine,,Nigeria,UK,Argentina,20
60fd35b45d565fcf5e010fec,Oslo,Serbia,Portugal,Zambia,Jordan,Everest,Nepal,Indonesia,Peru,Philippines,US,Micronesia,Cheviot,Romania,Salvador,Black,Russia,3,Vietnam,Irtysh,Japan,Indian,South America,Newfoundland,Red,Patagonian,Africa,Mongolia,Lebanon,China,Germany,Bangladesh,Toronto,8 billion,Luxenbourg,Nile,Istanbul,South Africa,France,USA,18
5e512d87a4cd2115185acb17,Helsinki,Poland,Spain,Senegal,UAE,Everest,Sri Lanka,India,Peru,Indonesia,US,Odesia,Milos,Romania,Rio de Janeiro,Gold,Tajikistan,3,Hong Kong,Amur,Japan,Atlantic,South America,Newfoundland,Red,Great Basin,Africa,Thailand,Cyprus,UK,Argentina,Sri Lanka,Vancouver,9 billion,Luxenbourg,Rhine,Istanbul,Egypt,UK,Brazil,18
5ebd3bbcecfc7d00085d0f9e,Helsinki,Serbia,Spain,Zambia,Afghanistan,Everest,Sri Lanka,Kenya,Uruguay,Malaysia,Monaco,Micronesia,Vesuvius,Romania,Sao Paulo,Gold,Uzbekistan,3,Vietnam,Amur,Japan,Atlantic,South America,Newfoundland,Red,Kalahari,Asia,Cambodia,Lebanon,China,Brazil,Sri Lanka,Quebec,8 billion,San Marino,Nile,Athens,South Africa,UK,Brazil,21
571922e42090bb001115b5ef,Stockholm,Poland,Spain,Senegal,Turkey,Everest,Bangladesh,Brazil,Uruguay,Malaysia,US,Odesia,Vesuvius,Romania,Rio de Janeiro,Black,China,3,New Zealand,Amur,Japan,Pacific,South America,Newfoundland,Red,Patagonian,Africa,,Cyprus,UK,Germany,Sri Lanka,Toronto,8 billion,Andorra,Rhine,Rome,South Africa,UK,Brazil,18
5c067e6329abc0000199ae45,Helsinki,Serbia,Spain,Zambia,Jordan,Everest,Sri Lanka,Kenya,Peru,Malaysia,Monaco,Odesia,Vesuvius,Romania,Brasilia,Green,China,3,Vietnam,Amur,Japan,Atlantic,South America,Newfoundland,Red,Patagonian,Africa,Cambodia,Cyprus,China,Germany,Sri Lanka,,8 billion,Andorra,Seine,Istanbul,Nigeria,UK,Brazil,28
5d87c4d9c1519000169ea0f5,Helsinki,Serbia,Spain,Zambia,Afghanistan,Everest,Bhutan,Kenya,Peru,Malaysia,Iceland,Odesia,Etna,Romania,Rio de Janeiro,Green,Tajikistan,2,Vietnam,Amur,Japan,Atlantic,South America,Newfoundland,Red,Kalahari,Africa,Cambodia,Lebanon,UK,Germany,Pakistan,Vancouver,8 billion,San Marino,Rhine,Rome,Nigeria,USA,Brazil,23
5c4c53b95aa8dc00011b0dce,Stockholm,Croatia,Spain,Guinea,Afghanistan,Everest,Bhutan,India,Bolivia,Thailand,Monaco,Melanesia,Vesuvius,Romania,Brasilia,Green,China,3,Vietnam,Amur,Japan,Atlantic,South America,Newfoundland,Red,Patagonian,Africa,Cambodia,New Zealand,China,Germany,India,Vancouver,8 billion,Andorra,Seine,Istanbul,Nigeria,Canada,Brazil,21
