participantID,trialNum,stage,stageName,trueCountry,differentials,likelihoods,correct,correctCountryIdx,likelihoodCorrect,highestLikelihoodValue,highestLikelihoodDifferential,highestLikelihoodCorrect
558fa9dffdf99b7ce2924662,1,1,Geography,GREECE,"PORTUGAL, SPAIN, NETHERLANDS","7, 5, 3",0,0,0,7,PORTUGAL,0
558fa9dffdf99b7ce2924662,1,2,History & Politics,GREECE,"PORTUGAL, SPAIN, NETHERLANDS, ITALY","7, 5, 3, 9",0,0,0,9,ITALY,0
558fa9dffdf99b7ce2924662,1,3,People & Culture,GREECE,"PORTUGAL, SPAIN, NETHERLANDS, ITALY","9, 5, 3, 7",0,0,0,9,PORTUGAL,0
558fa9dffdf99b7ce2924662,2,1,Geography,MONGOLIA,MONGOLIA,7,1,1,7,7,MONGOLIA,1
558fa9dffdf99b7ce2924662,2,2,History & Politics,MONGOLIA,"MONGOLIA, AZERBAIJAN, MOLDOVA","7, 8, 5",1,1,7,8,AZERBAIJAN,0
558fa9dffdf99b7ce2924662,2,3,People & Culture,MONGOLIA,"MONGOLIA, AZERBAIJAN, MOLDOVA, TIBET","8, 8, 5, 3",1,1,8,8,MONGOLIA,1
558fa9dffdf99b7ce2924662,3,1,Geography,BOTSWANA,"KENYA, TANZANIA","8, 7",0,0,0,8,KENYA,0
558fa9dffdf99b7ce2924662,3,2,History & Politics,BOTSWANA,"KENYA, TANZANIA, UGANDA, BOTSWANA","8, 7, 4, 4",1,4,4,8,KENYA,0
558fa9dffdf99b7ce2924662,3,3,People & Culture,BOTSWANA,"KENYA, TANZANIA, UGANDA, BOTSWANA, ZIMBABWE, ANGOLA","8, 7, 4, 4, 9, 4",1,4,4,9,ZIMBABWE,0
558fa9dffdf99b7ce2924662,4,1,Geography,COLOMBIA,"ARGENTINA, BOLIVIA","8, 4",0,0,0,8,ARGENTINA,0
558fa9dffdf99b7ce2924662,4,2,History & Politics,COLOMBIA,"ARGENTINA, BOLIVIA, CHILE","8, 4, 4",0,0,0,8,ARGENTINA,0
558fa9dffdf99b7ce2924662,4,3,People & Culture,COLOMBIA,"ARGENTINA, BOLIVIA, CHILE, PERU","8, 4, 4, 8",0,0,0,8,ARGENTINA,0
558fa9dffdf99b7ce2924662,5,1,Geography,SWITZERLAND,"FRANCE, GERMANY","8, 7",0,0,0,8,FRANCE,0
558fa9dffdf99b7ce2924662,5,2,History & Politics,SWITZERLAND,"FRANCE, GERMANY","8, 7",0,0,0,8,FRANCE,0
558fa9dffdf99b7ce2924662,5,3,People & Culture,SWITZERLAND,"FRANCE, GERMANY, NETHERLANDS, SWITZERLAND, FINLAND","8, 7, 7, 5, 8",1,4,5,8,FRANCE,0
558fa9dffdf99b7ce2924662,6,1,Geography,SOUTH KOREA,"JAPAN, TAIWAN, SOUTH KOREA, VIETNAM","7, 8, 8, 8",1,3,8,8,TAIWAN,0
558fa9dffdf99b7ce2924662,6,2,History & Politics,SOUTH KOREA,"JAPAN, TAIWAN, SOUTH KOREA, VIETNAM","9, 8, 8, 8",1,3,8,9,JAPAN,0
558fa9dffdf99b7ce2924662,6,3,People & Culture,SOUTH KOREA,"JAPAN, TAIWAN, SOUTH KOREA, VIETNAM, MYANMAR","9, 8, 8, 8, 7",1,3,8,9,JAPAN,0
56ce42d9465e580006846f57,1,1,Geography,SWITZERLAND,"ROMANIA, ALBANIA, SERBIA","4, 3, 3",0,0,0,4,ROMANIA,0
56ce42d9465e580006846f57,1,2,History & Politics,SWITZERLAND,"ROMANIA, ALBANIA, SERBIA, ESTONIA","4, 3, 3, 5",0,0,0,5,ESTONIA,0
56ce42d9465e580006846f57,1,3,People & Culture,SWITZERLAND,"ROMANIA, ALBANIA, SERBIA, ESTONIA","4, 3, 3, 5",0,0,0,5,ESTONIA,0
56ce42d9465e580006846f57,2,1,Geography,BOTSWANA,"ETHOPIA, SUDAN, NAMIBIA, RWANDA","3, 2, 3, 4",0,0,0,4,RWANDA,0
56ce42d9465e580006846f57,2,2,History & Politics,BOTSWANA,"ETHOPIA, SUDAN, NAMIBIA, RWANDA","4, 2, 3, 4",0,0,0,4,ETHOPIA,0
56ce42d9465e580006846f57,2,3,People & Culture,BOTSWANA,"ETHOPIA, SUDAN, NAMIBIA, RWANDA","4, 2, 3, 2",0,0,0,4,ETHOPIA,0
56ce42d9465e580006846f57,3,1,Geography,COLOMBIA,"ARGENTINA, COLUMBIA, CHILE, PARAGUAY","7, 5, 5, 4",1,2,5,7,ARGENTINA,0
56ce42d9465e580006846f57,3,2,History & Politics,COLOMBIA,"ARGENTINA, COLUMBIA, CHILE, PARAGUAY","7, 5, 5, 4",1,2,5,7,ARGENTINA,0
56ce42d9465e580006846f57,3,3,People & Culture,COLOMBIA,"ARGENTINA, COLUMBIA, CHILE, PARAGUAY","7, 5, 8, 4",1,2,5,8,CHILE,0
56ce42d9465e580006846f57,4,1,Geography,SOUTH KOREA,"KAZAKSTAN, UZBEKISTAN, TURKMENISTAN","3, 4, 5",0,0,0,5,TURKMENISTAN,0
56ce42d9465e580006846f57,4,2,History & Politics,SOUTH KOREA,"KAZAKSTAN, UZBEKISTAN, TURKMENISTAN","4, 4, 5",0,0,0,5,TURKMENISTAN,0
56ce42d9465e580006846f57,4,3,People & Culture,SOUTH KOREA,"KAZAKSTAN, UZBEKISTAN, TURKMENISTAN, SOUTH KOREA","4, 4, 5, 8",1,4,8,8,SOUTH KOREA,1
56ce42d9465e580006846f57,5,1,Geography,MONGOLIA,"TURKMENISTAN, UZBEKISTAN, KAZAKSTAN","6, 4, 5",0,0,0,6,TURKMENISTAN,0
