participantID,trialNum,stage,stageName,trueCountry,differentials,likelihoods,correct,correctCountryIdx,likelihoodCorrect,highestLikelihoodValue,highestLikelihoodDifferential,highestLikelihoodCorrect
558fa9dffdf99b7ce2924662,1,1,Geography,GREECE,"PORTUGAL, SPAIN, NETHERLANDS","7, 5, 3",,,,7,PORTUGAL,
558fa9dffdf99b7ce2924662,1,2,History & Politics,GREECE,"PORTUGAL, SPAIN, NETHERLANDS, ITALY","7, 5, 3, 9",,,,9,ITALY,
558fa9dffdf99b7ce2924662,1,3,People & Culture,GREECE,"PORTUGAL, SPAIN, NETHERLANDS, ITALY","9, 5, 3, 7",,,,9,PORTUGAL,
558fa9dffdf99b7ce2924662,2,1,Geography,MONGOLIA,MONGOLIA,7,,,,7,MONGOLIA,
558fa9dffdf99b7ce2924662,2,2,History & Politics,MONGOLIA,"MONGOLIA, AZERBAIJAN, MOLDOVA","7, 8, 5",,,,8,AZERBAIJAN,
558fa9dffdf99b7ce2924662,2,3,People & Culture,MONGOLIA,"MONGOLIA, AZERBAIJAN, MOLDOVA, TIBET","8, 8, 5, 3",,,,8,MONGOLIA,
558fa9dffdf99b7ce2924662,3,1,Geography,BOTSWANA,"KENYA, TANZANIA","8, 7",,,,8,KENYA,
558fa9dffdf99b7ce2924662,3,2,History & Politics,BOTSWANA,"KENYA, TANZANIA, UGANDA, BOTSWANA","8, 7, 4, 4",,,,8,KENYA,
558fa9dffdf99b7ce2924662,3,3,People & Culture,BOTSWANA,"KENYA, TANZANIA, UGANDA, BOTSWANA, ZIMBABWE, ANGOLA","8, 7, 4, 4, 9, 4",,,,9,ZIMBABWE,
558fa9dffdf99b7ce2924662,4,1,Geography,COLOMBIA,"ARGENTINA, BOLIVIA","8, 4",,,,8,ARGENTINA,
558fa9dffdf99b7ce2924662,4,2,History & Politics,COLOMBIA,"ARGENTINA, BOLIVIA, CHILE","8, 4, 4",,,,8,ARGENTINA,
558fa9dffdf99b7ce2924662,4,3,People & Culture,COLOMBIA,"ARGENTINA, BOLIVIA, CHILE, PERU","8, 4, 4, 8",,,,8,ARGENTINA,
558fa9dffdf99b7ce2924662,5,1,Geography,SWITZERLAND,"FRANCE, GERMANY","8, 7",,,,8,FRANCE,
558fa9dffdf99b7ce2924662,5,2,History & Politics,SWITZERLAND,"FRANCE, GERMANY","8, 7",,,,8,FRANCE,
558fa9dffdf99b7ce2924662,5,3,People & Culture,SWITZERLAND,"FRANCE, GERMANY, NETHERLANDS, SWITZERLAND, FINLAND","8, 7, 7, 5, 8",,,,8,FRANCE,
558fa9dffdf99b7ce2924662,6,1,Geography,SOUTH KOREA,"JAPAN, TAIWAN, SOUTH KOREA, VIETNAM","7, 8, 8, 8",,,,8,TAIWAN,
558fa9dffdf99b7ce2924662,6,2,History & Politics,SOUTH KOREA,"JAPAN, TAIWAN, SOUTH KOREA, VIETNAM","9, 8, 8, 8",,,,9,JAPAN,
