,PR,HD,SI,Accuracy,gender,decisionRationalScore,decisionIntuitionScore,relativeRationalism,proportionOfInfo,meanFinalConfidence,meanConfidenceOverallChange,meanDifficulty,TAWordCount
3lkzjq,,1,,0.833333333,F,21,14,7,0.775862069,57.33333333,44.33333333,6.666666667,5610
4khzxs,1,,1,0.833333333,Female,15,14,1,0.798850575,40.33333333,21.16666667,7.333333333,5229
593ybw,,,,0.333333333,female,19,17,2,0.908045977,45,4.166666667,6.833333333,5365
5lvg8j,1,,,0.166666667,Female,20,15,5,0.603448276,42.33333333,23,6.833333333,6309
clhtyq,,,1,0.666666667,Female,22,11,11,0.913793103,29.33333333,15,7,7730
d9b1qf,,,,0.833333333,F,19,16,3,0.775862069,57,37.66666667,5.833333333,2172
dcjymb,,1,1,0.833333333,female,20,12,8,0.850574713,39.66666667,35,8,3908
gdq7tc,1,,,0.333333333,female,23,10,13,0.706896552,12.66666667,1.166666667,7.833333333,1038
gs6zbl,,1,,0.5,F,24,13,11,0.591954023,72.83333333,61.5,6,4019
jdqsnf,,1,,0.5,Male,23,12,11,0.856321839,66.5,32.66666667,5.5,5949
k5376h,,1,1,0.5,Female,23,14,9,0.833333333,12.83333333,8.333333333,6.666666667,4085
l3jd8r,,,1,0.666666667,Male,18,15,3,0.695402299,63.5,11,4.333333333,1113
ly9kzg,1,,1,0.5,Female,25,14,11,0.82183908,54,-1,6.666666667,4617
rslkq8,,1,,0.166666667,Female,22,13,9,0.672413793,48.33333333,30.33333333,7.333333333,1144
y86m2n,,1,1,0.833333333,Male,21,21,0,0.770114943,52,0,4.833333333,5404
ytpshg,1,,,0.666666667,female,20,13,7,0.856321839,56,1.666666667,5.833333333,3419
