SESSION START,NAME,SCENARIO,CURRENT SCENARIO VERSION,SCENARIO VERSION PLAYED,SESSION ID#,ACTION TIMESTAMP (SECS AFTER START),ACTION TITLE
13/12/2023 10:20,Paeds Account 19,"Sam, Pneumonia A-E Assessment [SNP011UK]",V1.0.0.0,V1.0.0.0,358418,0,start scenario
13/12/2023 10:21,Paeds Account 19,"Sam, Pneumonia A-E Assessment [SNP011UK]",V1.0.0.0,V1.0.0.0,358418,52,introduce yourself
13/12/2023 10:21,Paeds Account 19,"Sam, Pneumonia A-E Assessment [SNP011UK]",V1.0.0.0,V1.0.0.0,358418,66,presenting complaint
13/12/2023 10:22,Paeds Account 19,"Sam, Pneumonia A-E Assessment [SNP011UK]",V1.0.0.0,V1.0.0.0,358418,82,past medical history
13/12/2023 10:22,Paeds Account 19,"Sam, Pneumonia A-E Assessment [SNP011UK]",V1.0.0.0,V1.0.0.0,358418,117,prescribed medications
13/12/2023 10:23,Paeds Account 19,"Sam, Pneumonia A-E Assessment [SNP011UK]",V1.0.0.0,V1.0.0.0,358418,135,allergies
13/12/2023 10:23,Paeds Account 19,"Sam, Pneumonia A-E Assessment [SNP011UK]",V1.0.0.0,V1.0.0.0,358418,147,ask consent to examine sam
13/12/2023 10:23,Paeds Account 19,"Sam, Pneumonia A-E Assessment [SNP011UK]",V1.0.0.0,V1.0.0.0,358418,176,observe airway and talk to patient
13/12/2023 10:24,Paeds Account 19,"Sam, Pneumonia A-E Assessment [SNP011UK]",V1.0.0.0,V1.0.0.0,358418,197,observe respiratory rate and signs of respiratory distress
13/12/2023 10:25,Paeds Account 19,"Sam, Pneumonia A-E Assessment [SNP011UK]",V1.0.0.0,V1.0.0.0,358418,255,provide reassurance
13/12/2023 10:25,Paeds Account 19,"Sam, Pneumonia A-E Assessment [SNP011UK]",V1.0.0.0,V1.0.0.0,358418,272,auscultate lungs
13/12/2023 10:26,Paeds Account 19,"Sam, Pneumonia A-E Assessment [SNP011UK]",V1.0.0.0,V1.0.0.0,358418,319,check temperature (tympanic)
13/12/2023 10:26,Paeds Account 19,"Sam, Pneumonia A-E Assessment [SNP011UK]",V1.0.0.0,V1.0.0.0,358418,338,measure oxygen saturations & heart rate
13/12/2023 10:26,Paeds Account 19,"Sam, Pneumonia A-E Assessment [SNP011UK]",V1.0.0.0,V1.0.0.0,358418,354,provide reassurance
13/12/2023 10:27,Paeds Account 19,"Sam, Pneumonia A-E Assessment [SNP011UK]",V1.0.0.0,V1.0.0.0,358418,367,non-rebreather mask (15 l/min)
13/12/2023 10:27,Paeds Account 19,"Sam, Pneumonia A-E Assessment [SNP011UK]",V1.0.0.0,V1.0.0.0,358418,381,ask for tips
13/12/2023 10:28,Paeds Account 19,"Sam, Pneumonia A-E Assessment [SNP011UK]",V1.0.0.0,V1.0.0.0,358418,441,measure blood pressure
13/12/2023 10:28,Paeds Account 19,"Sam, Pneumonia A-E Assessment [SNP011UK]",V1.0.0.0,V1.0.0.0,358418,446,update on clinical plan
13/12/2023 10:28,Paeds Account 19,"Sam, Pneumonia A-E Assessment [SNP011UK]",V1.0.0.0,V1.0.0.0,358418,455,ask for tips
13/12/2023 10:29,Paeds Account 19,"Sam, Pneumonia A-E Assessment [SNP011UK]",V1.0.0.0,V1.0.0.0,358418,525,normal
13/12/2023 10:29,Paeds Account 19,"Sam, Pneumonia A-E Assessment [SNP011UK]",V1.0.0.0,V1.0.0.0,358418,525,> 30 breaths per min
