SESSION START,NAME,SCENARIO,SESSION ID#,ACTION TIMESTAMP (SECS AFTER START),ACTION TITLE
30/08/2023 09:39,Paeds Account 2,"Sam, Pneumonia A-E Assessment [SNP011UK]",314401,0,start scenario
30/08/2023 09:42,Paeds Account 2,"Sam, Pneumonia A-E Assessment [SNP011UK]",314401,184,introduce yourself
30/08/2023 09:42,Paeds Account 2,"Sam, Pneumonia A-E Assessment [SNP011UK]",314401,190,introduce yourself
30/08/2023 09:43,Paeds Account 2,"Sam, Pneumonia A-E Assessment [SNP011UK]",314401,203,presenting complaint
30/08/2023 09:43,Paeds Account 2,"Sam, Pneumonia A-E Assessment [SNP011UK]",314401,210,ask about pain
30/08/2023 09:43,Paeds Account 2,"Sam, Pneumonia A-E Assessment [SNP011UK]",314401,218,presenting complaint
30/08/2023 09:43,Paeds Account 2,"Sam, Pneumonia A-E Assessment [SNP011UK]",314401,223,history of presenting complaint
30/08/2023 09:43,Paeds Account 2,"Sam, Pneumonia A-E Assessment [SNP011UK]",314401,227,history of presenting complaint
30/08/2023 09:43,Paeds Account 2,"Sam, Pneumonia A-E Assessment [SNP011UK]",314401,235,provide reassurance
30/08/2023 09:43,Paeds Account 2,"Sam, Pneumonia A-E Assessment [SNP011UK]",314401,245,aggravating / relieving factors
30/08/2023 09:44,Paeds Account 2,"Sam, Pneumonia A-E Assessment [SNP011UK]",314401,253,ask about fever
30/08/2023 09:44,Paeds Account 2,"Sam, Pneumonia A-E Assessment [SNP011UK]",314401,277,measure oxygen saturations & heart rate
30/08/2023 09:44,Paeds Account 2,"Sam, Pneumonia A-E Assessment [SNP011UK]",314401,279,measure blood pressure
30/08/2023 09:44,Paeds Account 2,"Sam, Pneumonia A-E Assessment [SNP011UK]",314401,282,check temperature (tympanic)
30/08/2023 09:44,Paeds Account 2,"Sam, Pneumonia A-E Assessment [SNP011UK]",314401,304,past medical history
30/08/2023 09:45,Paeds Account 2,"Sam, Pneumonia A-E Assessment [SNP011UK]",314401,312,nasal cannulae (4 l/min)
30/08/2023 09:45,Paeds Account 2,"Sam, Pneumonia A-E Assessment [SNP011UK]",314401,329,non-rebreather mask (15 l/min)
30/08/2023 09:45,Paeds Account 2,"Sam, Pneumonia A-E Assessment [SNP011UK]",314401,362,ask consent to examine sam
30/08/2023 09:46,Paeds Account 2,"Sam, Pneumonia A-E Assessment [SNP011UK]",314401,425,ask for urine dip and culture
30/08/2023 09:46,Paeds Account 2,"Sam, Pneumonia A-E Assessment [SNP011UK]",314401,431,observe respiratory rate and signs of respiratory distress
30/08/2023 09:47,Paeds Account 2,"Sam, Pneumonia A-E Assessment [SNP011UK]",314401,476,normal
30/08/2023 09:47,Paeds Account 2,"Sam, Pneumonia A-E Assessment [SNP011UK]",314401,476,> 30 breaths per min
30/08/2023 09:47,Paeds Account 2,"Sam, Pneumonia A-E Assessment [SNP011UK]",314401,476,severe / moderate
30/08/2023 09:47,Paeds Account 2,"Sam, Pneumonia A-E Assessment [SNP011UK]",314401,476,sp o2 <95% in air and/or receiving oxygen
30/08/2023 09:47,Paeds Account 2,"Sam, Pneumonia A-E Assessment [SNP011UK]",314401,476,> 120 bpm
30/08/2023 09:47,Paeds Account 2,"Sam, Pneumonia A-E Assessment [SNP011UK]",314401,476,yes
30/08/2023 09:48,Paeds Account 2,"Sam, Pneumonia A-E Assessment [SNP011UK]",314401,524,situation option 1
30/08/2023 09:48,Paeds Account 2,"Sam, Pneumonia A-E Assessment [SNP011UK]",314401,524,situation option 2
30/08/2023 09:48,Paeds Account 2,"Sam, Pneumonia A-E Assessment [SNP011UK]",314401,524,situation option 4
30/08/2023 09:48,Paeds Account 2,"Sam, Pneumonia A-E Assessment [SNP011UK]",314401,524,background option 1
30/08/2023 09:48,Paeds Account 2,"Sam, Pneumonia A-E Assessment [SNP011UK]",314401,524,background option 2
30/08/2023 09:48,Paeds Account 2,"Sam, Pneumonia A-E Assessment [SNP011UK]",314401,524,background option 3
30/08/2023 09:48,Paeds Account 2,"Sam, Pneumonia A-E Assessment [SNP011UK]",314401,524,assessment option 2
30/08/2023 09:48,Paeds Account 2,"Sam, Pneumonia A-E Assessment [SNP011UK]",314401,524,assessment option 3
30/08/2023 09:48,Paeds Account 2,"Sam, Pneumonia A-E Assessment [SNP011UK]",314401,524,assessment option 4
30/08/2023 09:48,Paeds Account 2,"Sam, Pneumonia A-E Assessment [SNP011UK]",314401,524,assessment option 5
30/08/2023 09:48,Paeds Account 2,"Sam, Pneumonia A-E Assessment [SNP011UK]",314401,524,recommendation option 4
30/08/2023 09:49,Paeds Account 2,"Sam, Pneumonia A-E Assessment [SNP011UK]",314401,560,insert iv access and take bloods
30/08/2023 09:49,Paeds Account 2,"Sam, Pneumonia A-E Assessment [SNP011UK]",314401,589,ask for ecg
30/08/2023 09:49,Paeds Account 2,"Sam, Pneumonia A-E Assessment [SNP011UK]",314401,606,fluid prescription chart
30/08/2023 09:50,Paeds Account 2,"Sam, Pneumonia A-E Assessment [SNP011UK]",314401,617,20ml/kg 0.9% saline iv stat (max 500ml)
30/08/2023 09:50,Paeds Account 2,"Sam, Pneumonia A-E Assessment [SNP011UK]",314401,637,allergies
30/08/2023 09:50,Paeds Account 2,"Sam, Pneumonia A-E Assessment [SNP011UK]",314401,651,prescribed medications
30/08/2023 09:50,Paeds Account 2,"Sam, Pneumonia A-E Assessment [SNP011UK]",314401,657,vaccination history
30/08/2023 09:50,Paeds Account 2,"Sam, Pneumonia A-E Assessment [SNP011UK]",314401,671,repeat blood pressure
30/08/2023 09:51,Paeds Account 2,"Sam, Pneumonia A-E Assessment [SNP011UK]",314401,673,repeat blood pressure
30/08/2023 09:51,Paeds Account 2,"Sam, Pneumonia A-E Assessment [SNP011UK]",314401,691,medication list
30/08/2023 09:51,Paeds Account 2,"Sam, Pneumonia A-E Assessment [SNP011UK]",314401,697,ecg result #1
30/08/2023 09:52,Paeds Account 2,"Sam, Pneumonia A-E Assessment [SNP011UK]",314401,760,call on-call doctor
30/08/2023 09:53,Paeds Account 2,"Sam, Pneumonia A-E Assessment [SNP011UK]",314401,792,20ml/kg 0.9% saline iv stat (max 500ml)
30/08/2023 09:53,Paeds Account 2,"Sam, Pneumonia A-E Assessment [SNP011UK]",314401,810,capillary blood gas
30/08/2023 09:53,Paeds Account 2,"Sam, Pneumonia A-E Assessment [SNP011UK]",314401,827,repeat blood pressure
30/08/2023 09:53,Paeds Account 2,"Sam, Pneumonia A-E Assessment [SNP011UK]",314401,837,repeat blood pressure
