"","OMSID","round","ParticipantID","Scenario","t1Diagnoses","t1DiagnosisScore","t1Likelihoods","t1Confidence","t1Severity","t2Diagnoses","t2Likelihoods","t2Confidence","t2Severity","t2SeniorReview","t2InvestigationsComplete","OMSScore","t2ExtraInvestigations","SCENARIO","CURRENT.SCENARIO.VERSION","SCENARIO.VERSION.PLAYED","SCORE....","TIME.SPENT","DATE","SCENARIO.ATTEMPT..","Quest.2.PIN","scenGroup","scenNum","orderNum","t1numOfDiagnoses","t2numOfDiagnoses","t1HighestLikelihood","t2HighestLikelihood","severityChange","confidenceChange","t1numOfDiagnosesChange","diagnosticChange","calibrationByDiff","sbarStart","helpStart","totalHelpStart","pewsScore","totalActions","uniqueActions","filteredActions","actionVector","actTimesVector","historyActionsVector","examsActionsVector","testingActionsVector","treatmentActionsVector","numOfHistoryActions","numOfExamActions","numOfTestingActions","numOfTreatmentActions","numOfActionsAfterHistory","numOfHistoryActionsBeforePause","numOfHistoryActionsAfterPause","numOfExamActionsBeforePause","numOfExamActionsAfterPause","percentageHistory","numOfTestingActionsBeforePause","numOfTestingActionsAfterPause","percentageTesting","numOfTreatmentActionsBeforePause","numOfTreatmentActionsAfterPause","historyVectorBeforePause","numOfActionsBeforePause","numOfActionsAfterPause","numOfDiagnosesLabel","initialConfidenceLabel","infoVal","infoValHistory","infoValExams","infoValTesting","infoValHistoryBeforePause","infoValBeforePause","infoValAfterPause","infoValAfterHistory"
"1",1,2,"A17","Pneumonia","Asthma excerbation, pneumonia, sepsis",0.44,"4,3,5",8,7,"Asthma, infectious asthma excerbation, pneumonia","4,4,4",7,7,0,0,74,"","Sam, Pneumonia A-E Assessment [SNP011UK]","V1.0.0.0","V1.0.0.0",73.86,"13m 26s","18/10/2023 13:23",1,"No","DP",2,3,3,3,5,4,0,-1,0,1,1.05714285714286,476,799,476,5,63,53,17,"1
0
1
0
0
0
0
0
1
0
0
0
0
0
0
0
0
0
0
0
1
0
0
0
0
0
0
1
0
0
0
0
0
0
0
1
1
1
0
1
1
1
0
0
0
0
0
0
1
0
0
1
1
0
0
0
0
0
0
1
0
0
0
0
0
0
0
0
0
0
1
0
0
0
1
0
0
0
0
0
0
0","88
0
119
0
0
0
0
0
70
0
0
0
0
0
0
0
0
0
0
0
56
0
0
0
0
0
0
511
0
0
0
0
0
0
0
169
221
242
0
305
364
311
0
0
0
0
0
0
312
0
0
669
700
0
0
0
0
0
0
749
0
0
0
0
0
0
0
0
0
0
546
0
0
0
189
0
0
0
0
0
0
0","1
0
1
0
0
0
0
0
1
0
0
0
0
0
0
0
0
0
0
0
1
0
0
0
0
0
0
1
0
0
0
0
0
0
0","1
1
1
0
1
1
1
0
0
0
0
0
0
1
0
0
1
1
0
0
0
0
0
0
1
0
0
0
0","0
0
0
0
0
0
1
0
0
0
1
0
0
0
0
0
0
0","1
0
0
0
0
0
1
0
0
0
0
0
0
0
0
0",5,10,2,2,12,4,1,4,6,0.8,1,1,0.5,1,1,"past medical history
allergies
history of presenting complaint
presenting complaint",15,48,"low","high",36.0296472241209,1.23666666666666,31.2096472241209,3.58333333333334,-10.08,-7.06636363636363,39.4562765609676,34.7929805574543
"2",1,3,"B21","Asthma","Acute excerbation of asthma, viral induced wheeze, bronchiolitis, pneumonia, croup, foreign object, anaphylaxis",0.84,"5,2,2,2,2,3,3",9,3,"Acute excerbation of asthma, viral induced wheeze, bronchiolitis, pneumonia, croup, foreign object, anaphylaxis","5,2,2,3,2,2,2",10,7,0.71,0,68,"peak flow, nebuliser","Sam, Respiratory Distress and Wheeze A-E Assessment [SNP002UK]","V1.0.0.0","V1.0.0.0",67.73,"12m 29s","06/11/2023 15:21",3,"No","AS",1,1,7,7,5,5,4,1,0,5,0.68,9999,Inf,9999,4,38,37,23,"1
1
1
0
0
0
1
1
1
0
0
0
0
0
0
1
1
0
0
0
1
0
1
0
0
0
0
0
0
0
0
0
0
0
0
0
1
1
1
0
1
1
1
1
1
1
0
0
1
0
0
0
0
0
0
0
0
1
0
1
0
0
0
0
0
0
0
0
0
0
0
0
0
0
1
0
0
0
0
0
0
0","178
285
277
0
0
0
128
159
93
0
0
0
0
0
0
210
227
0
0
0
72
0
267
0
0
0
0
0
0
0
0
0
0
0
0
0
590
115
696
0
381
319
682
440
455
638
0
0
404
0
0
0
0
0
0
0
0
146
0
490
0
0
0
0
0
0
0
0
0
0
0
0
0
0
509
0
0
0
0
0
0
0","1
1
1
0
0
0
1
1
1
0
0
0
0
0
0
1
1
0
0
0
1
0
1
0
0
0
0
0
0
0
0
0
0
0
0","0
1
1
1
0
1
1
1
1
1
1
0
0
1
0
0
0
0
0
0
0
0
1
0
1
0
0
0
0","0
0
0
0
0
0
0
0
0
0
1
0
0
0
0
0
0
0","1
1
0
0
0
0
0
0
0
0
0
0
0
0
0
0",10,12,1,2,13,10,0,2,10,1,0,1,1,0,2,"past medical history
prescribed medications
allergies
ask about pain
ask about general activity level
history of presenting complaint
past surgical history
ask birth history
presenting complaint
developmental milestones",15,23,"high","high",33.3227666586348,24.8247031807184,8.49806347791643,0,4.2023172905526,-3.06238859180034,11.3400171065494,8.49806347791643
"3",1,5,"C16","Asthma","Asthma excerbation, virus, atopic allergies, VIW",0.38,"5,4,3,1",7,7,"Acute asthma excerbation second to allergies, VIEW, respiratory virus","5,2,2",7,7,0.25,0,69,"More full history, ECG","Sam, Respiratory Distress and Wheeze A-E Assessment [SNP002UK]","V1.0.0.0","V1.0.0.0",70.49,"15m 58s","08/01/2024 13:06",4,"No","AS",1,1,4,3,5,5,0,0,-1,1,0.985714285714286,699,Inf,699,5,47,44,18,"1
1
1
0
0
0
1
0
1
0
0
0
0
0
0
1
0
0
0
1
1
0
0
0
0
0
0
1
0
0
0
0
0
0
0
1
1
1
0
0
1
1
0
0
0
0
1
0
0
0
0
1
0
0
0
0
0
0
0
0
0
0
0
0
1
0
0
0
0
0
0
0
0
0
1
0
0
0
0
0
0
0","497
548
539
0
0
0
138
0
111
0
0
0
0
0
0
530
0
0
0
755
99
0
0
0
0
0
0
770
0
0
0
0
0
0
0
180
255
402
0
0
730
727
0
0
0
0
307
0
0
0
0
460
0
0
0
0
0
0
0
0
0
0
0
0
577
0
0
0
0
0
0
0
0
0
220
0
0
0
0
0
0
0","1
1
1
0
0
0
1
0
1
0
0
0
0
0
0
1
0
0
0
1
1
0
0
0
0
0
0
1
0
0
0
0
0
0
0","1
1
1
0
0
1
1
0
0
0
0
1
0
0
0
0
1
0
0
0
0
0
0
0
0
0
0
0
0","1
0
0
0
0
0
0
0
0
0
1
0
0
0
0
0
0
0","1
1
0
0
0
0
0
0
0
0
0
0
0
0
0
0",9,7,2,2,9,3,6,2,5,0.333333333333333,1,1,0.5,0,2,"ask about pain
history of presenting complaint
presenting complaint",10,37,"high","high",30.268526233798,17.2978507706302,11.0356909430439,1.93498452012383,4.2023172905526,0.169754265342519,9.16395289298515,12.9706754631677
"4",1,5,"C1","Asthma","URTI, bronchiolitis, asthma, hypog, DKA",0.47,"4,4,3,1,1",2,8,"","",NA,NA,NA,NA,NA,"","Sam, Respiratory Distress and Wheeze A-E Assessment [SNP002UK]","V1.0.0.0","V1.0.0.0",70.49,"15m 58s","08/01/2024 13:06",4,"No","AS",1,1,5,1,4,NA,NA,NA,-4,NA,NA,699,Inf,699,5,47,44,18,"1
1
1
0
0
0
1
0
1
0
0
0
0
0
0
1
0
0
0
1
1
0
0
0
0
0
0
1
0
0
0
0
0
0
0
1
1
1
0
0
1
1
0
0
0
0
1
0
0
0
0
1
0
0
0
0
0
0
0
0
0
0
0
0
1
0
0
0
0
0
0
0
0
0
1
0
0
0
0
0
0
0","497
548
539
0
0
0
138
0
111
0
0
0
0
0
0
530
0
0
0
755
99
0
0
0
0
0
0
770
0
0
0
0
0
0
0
180
255
402
0
0
730
727
0
0
0
0
307
0
0
0
0
460
0
0
0
0
0
0
0
0
0
0
0
0
577
0
0
0
0
0
0
0
0
0
220
0
0
0
0
0
0
0","1
1
1
0
0
0
1
0
1
0
0
0
0
0
0
1
0
0
0
1
1
0
0
0
0
0
0
1
0
0
0
0
0
0
0","1
1
1
0
0
1
1
0
0
0
0
1
0
0
0
0
1
0
0
0
0
0
0
0
0
0
0
0
0","1
0
0
0
0
0
0
0
0
0
1
0
0
0
0
0
0
0","1
1
0
0
0
0
0
0
0
0
0
0
0
0
0
0",9,7,2,2,9,3,6,2,5,0.333333333333333,1,1,0.5,0,2,"ask about pain
history of presenting complaint
presenting complaint",10,37,"high","low",30.268526233798,17.2978507706302,11.0356909430439,1.93498452012383,4.2023172905526,0.169754265342519,9.16395289298515,12.9706754631677
"5",1,6,"C1","Seizure","Febrile Seizure, pneumonitis v/b, RSV (high fever), epilepsy, hypoglycaemic seizure",0.56,"5,4,1,3,1",3,7,"Febrile seizure, URTI, epilepsy","5,5,2",9,7,0.26,0,70,"Ask mum what meds she was given","Katy, Seizure, A-E Assessment [SNP004UK]","V1.0.0.0","V1.0.0.0",70.35,"17m 29s","14/02/2024 09:57",2,"No","AS",2,4,5,3,5,5,0,6,-2,8,0.777777777777778,365,Inf,365,0,59,54,25,"1
1
1
0
0
0
0
0
1
0
0
1
0
0
0
1
1
0
0
0
1
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
1
0
0
1
1
1
0
0
1
0
0
1
1
0
1
1
1
1
0
0
0
0
0
1
0
0
0
0
0
0
1
1
0
0
0
0
0
1
0
1
0
0
1
0
0","902
1021
459
0
0
0
0
0
866
0
0
1002
0
0
0
944
962
0
0
0
853
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
587
0
0
249
211
897
0
0
136
0
0
212
989
0
618
668
565
953
0
0
0
0
0
875
0
0
0
0
0
0
688
711
0
0
0
0
0
515
0
726
0
0
693
0
0","1
1
1
0
0
0
0
0
1
0
0
1
0
0
0
1
1
0
0
0
1
0
0
0
0
0
0
0
0
0
0
0
0
0
0","0
0
1
0
0
1
1
1
0
0
1
0
0
1
1
0
1
1
1
1
0
0
0
0
0
1
0
0
0","0
0
0
1
1
0
0
0
0
0
1
0
1
0
0
1
0
0","1
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0",8,12,5,1,17,0,8,4,8,0,0,5,1,1,0,"",12,47,"high","low",69.0378794279336,14.7830618212197,47.4453479097442,6.80946969696971,-7.08479532163742,16.046783625731,42.9885164371233,54.2548176067139
"6",10,1,"A22","DKA","DKA, Anaphylaxis, Gastroenteritis, Hypoglycaemia",0.53,"5,2,3,2",9,7,"DKA","5",9,7,0.1,0,46,"Fluids + VBG","Sarah, Diabetic Ketoacidosis, A-E Assessment [SNP005UK]","V1.0.0.0","V1.0.0.0",46.19,"15m 23s","11/09/2023 16:08",1,"No","DP",1,2,4,1,5,5,0,0,-3,3,0.511111111111111,622,901,622,3,50,47,18,"1
0
1
0
0
0
0
0
1
0
0
0
0
0
0
0
0
0
0
0
1
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
1
0
0
1
1
0
1
0
1
0
0
1
0
0
1
0
0
1
0
0
0
0
0
0
0
0
0
0
0
1
0
1
1
1
1
0
0
1
0
0
0
0
0
0
0","112
0
85
0
0
0
0
0
794
0
0
0
0
0
0
0
0
0
0
0
90
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
255
0
0
207
715
0
886
0
823
0
0
161
0
0
749
0
0
652
0
0
0
0
0
0
0
0
0
0
0
709
0
689
479
505
446
0
0
301
0
0
0
0
0
0
0","1
0
1
0
0
0
0
0
1
0
0
0
0
0
0
0
0
0
0
0
1
0
0
0
0
0
0
0
0
0
0
0
0
0
0","0
0
1
0
0
1
1
0
1
0
1
0
0
1
0
0
1
0
0
1
0
0
0
0
0
0
0
0
0","0
0
1
0
1
1
1
1
0
0
1
0
0
0
0
0
0
0","0
0
0
0
0
0
0
0
0
0
0
1
0
0
1
1",4,8,6,3,14,3,1,3,5,0.75,1,5,0.833333333333333,0,3,"past medical history
allergies
presenting complaint",11,39,"high","high",22.5576753070614,-24.0482063308742,16.7649092669782,29.8409723709574,-10.3041871921182,25.7553709409032,-5.95609195402299,46.6058816379356
"7",10,2,"A22","Pneumonia","Sepsis, Viral infection, Bacterial infection",0.14,"4,2,4",6,7,"","",NA,NA,NA,NA,NA,"","Sam, Pneumonia A-E Assessment [SNP011UK]","V1.0.0.0","V1.0.0.0",56.8,"10m 36s","18/10/2023 15:27",1,"No","DP",2,3,3,1,4,NA,NA,NA,-2,NA,NA,430,Inf,430,5,38,35,13,"1
0
0
0
0
0
0
0
1
0
0
0
0
0
0
0
0
0
0
0
1
0
0
0
0
0
0
1
0
0
0
0
0
0
0
0
1
1
0
0
1
1
0
0
0
0
0
0
0
0
0
0
0
1
0
0
0
0
0
0
0
0
0
0
0
0
0
1
0
0
1
0
0
1
1
0
0
0
0
0
0
0","507
0
0
0
0
0
0
0
75
0
0
0
0
0
0
0
0
0
0
0
65
0
0
0
0
0
0
472
0
0
0
0
0
0
0
0
195
158
0
0
271
290
0
0
0
0
0
0
0
0
0
0
0
254
0
0
0
0
0
0
0
0
0
0
0
0
0
223
0
0
325
0
0
209
120
0
0
0
0
0
0
0","1
0
0
0
0
0
0
0
1
0
0
0
0
0
0
0
0
0
0
0
1
0
0
0
0
0
0
1
0
0
0
0
0
0
0","0
1
1
0
0
1
1
0
0
0
0
0
0
0
0
0
0
0
1
0
0
0
0
0
0
0
0
0
0","0
0
0
1
0
0
1
0
0
1
1
0
0
0
0
0
0
0","1
0
0
0
0
0
1
0
0
0
0
0
0
0
0
0",4,5,4,2,9,2,2,5,0,0.5,4,0,0,1,1,"history of presenting complaint
presenting complaint",14,24,"low","low",12.3549143610013,-5.51695652173913,11.9021739130435,5.96969696969697,-10.08,-6.49666666666666,11.2160737812912,17.8718708827405
"8",11,1,"A10","DKA","DKA, infection (causing DKA?)",0.38,"5,2",8,9,"DKA","5",9,9,0,0,55,"Give fluids","Sarah, Diabetic Ketoacidosis, A-E Assessment [SNP005UK]","V1.0.0.0","V1.0.0.0",55.1,"12m 11s","11/09/2023 14:41",1,"No","DP",1,2,2,1,5,5,0,1,-1,2,0.611111111111111,9999,Inf,9999,2,34,30,16,"1
0
1
0
0
1
0
0
1
0
0
0
0
0
0
0
0
0
0
0
1
1
0
0
0
0
0
0
0
0
0
1
0
0
0
1
1
1
0
0
1
1
0
0
0
0
0
0
1
0
0
0
0
0
0
0
0
0
0
1
0
0
0
0
0
0
0
0
0
0
0
1
0
0
1
0
0
0
0
0
0
0","188
0
213
0
0
142
0
0
113
0
0
0
0
0
0
0
0
0
0
0
89
323
0
0
0
0
0
0
0
0
0
233
0
0
0
291
488
327
0
0
518
327
0
0
0
0
0
0
541
0
0
0
0
0
0
0
0
0
0
331
0
0
0
0
0
0
0
0
0
0
0
658
0
0
581
0
0
0
0
0
0
0","1
0
1
0
0
1
0
0
1
0
0
0
0
0
0
0
0
0
0
0
1
1
0
0
0
0
0
0
0
0
0
1
0
0
0","1
1
1
0
0
1
1
0
0
0
0
0
0
1
0
0
0
0
0
0
0
0
0
0
1
0
0
0
0","0
0
0
0
0
0
0
1
0
0
1
0
0
0
0
0
0
0","0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0",7,7,2,0,9,7,0,1,6,1,0,2,1,0,0,"past medical history
allergies
aggravating / relieving factors
history of presenting complaint
presenting complaint
family history",14,20,"low","high",25.9675390061642,-13.8098729975409,26.4178060923751,13.35960591133,-10.3041871921182,18.2099516862448,3.33470169677066,39.7774120037051
"9",11,2,"A10","Pneumonia","Acute asthma excerbation, concomitant infection, foreign body",0.37,"5,4,2",8,7,"Sepsis, acute asthma excerbation, pneumonia","5,1,4",8,9,0.12,0,51,"full history of travel, examine peripheral cardio signs, view output","Sam, Pneumonia A-E Assessment [SNP011UK]","V1.0.0.0","V1.0.0.0",51.27,"15m 33s","18/10/2023 11:56",2,"No","DP",2,3,3,3,5,5,2,0,0,2,0.6375,761,Inf,761,5,54,48,20,"1
1
1
0
0
0
1
1
1
1
1
0
0
0
0
0
0
0
0
0
1
0
0
0
0
0
0
1
0
0
0
1
0
0
0
0
1
1
0
0
1
1
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
1
0
1
0
0
0
0
1
0
0
0
0
0
1
0
0
0
1
0
0
0
0
0
0
0","250
298
292
0
0
0
213
220
193
327
317
0
0
0
0
0
0
0
0
0
121
0
0
0
0
0
0
847
0
0
0
333
0
0
0
0
390
426
0
0
629
446
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
235
0
888
0
0
0
0
608
0
0
0
0
0
799
0
0
0
458
0
0
0
0
0
0
0","1
1
1
0
0
0
1
1
1
1
1
0
0
0
0
0
0
0
0
0
1
0
0
0
0
0
0
1
0
0
0
1
0
0
0","0
1
1
0
0
1
1
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
1
0
1
0
0
0
0","1
0
0
0
0
0
1
0
0
0
1
0
0
0
0
0
0
0","1
0
0
0
0
0
1
0
0
0
0
0
0
0
0
0",11,6,3,2,9,9,2,1,5,0.818181818181818,0,3,1,0,2,"past medical history
prescribed medications
allergies
ask about pain
ask about general activity level
history of presenting complaint
presenting complaint",13,41,"low","high",27.9830925361188,17.6923874079137,9.64487179487179,0.645833333333336,-10.08,-6.49666666666666,12.4297101449275,10.2907051282051
"10",11,3,"B22","DKA","DKA, gasteroenteritis, pancreatis, appendicitis, ischaemia, hyperglycemic state, abdominal trauma",0.4,"5,1,2,2,1,1,3",9,7,"DKA, gasteroenteritis, pancreatis, appendicitis, ischaemia, hyperglycemic state, abdominal trauma","5,1,1,1,1,1,1",10,7,0.28,0,42,"A to E","Sarah, Diabetic Ketoacidosis, A-E Assessment [SNP005UK]","V1.0.0.0","V1.0.0.0",41.66,"13m 57s","06/11/2023 16:18",2,"No","DP",1,2,7,7,5,5,0,1,0,1,0.42,542,479,479,2,48,45,16,"1
1
1
0
0
0
1
0
1
0
0
0
0
0
0
0
0
0
0
0
1
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
1
0
0
1
1
0
0
0
0
0
0
1
0
0
0
0
0
0
0
0
1
0
0
0
0
0
0
0
1
0
0
0
0
1
1
0
0
1
0
0
1
0
0
0
0","187
212
248
0
0
0
94
0
129
0
0
0
0
0
0
0
0
0
0
0
76
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
215
0
0
181
370
0
0
0
0
0
0
153
0
0
0
0
0
0
0
0
166
0
0
0
0
0
0
0
560
0
0
0
0
449
233
0
0
298
0
0
620
0
0
0
0","1
1
1
0
0
0
1
0
1
0
0
0
0
0
0
0
0
0
0
0
1
0
0
0
0
0
0
0
0
0
0
0
0
0
0","0
0
1
0
0
1
1
0
0
0
0
0
0
1
0
0
0
0
0
0
0
0
1
0
0
0
0
0
0","0
1
0
0
0
0
1
1
0
0
1
0
0
1
0
0
0
0","0
0
0
0
0
0
1
0
0
0
0
1
0
0
0
0",6,5,5,2,10,6,0,4,1,1,2,3,0.6,0,2,"past medical history
prescribed medications
allergies
ask about pain
history of presenting complaint
presenting complaint",16,32,"high","high",10.9522042925687,-27.9539602991282,9.91284577491474,28.9933188167821,-10.3041871921182,25.7553709409032,-6.1256157635468,38.9061645916968
