participantID,trialNum,stage,stageName,trueCountry,requestedTests,uniqueTests,pastTests,currentTests,possibleTest,proportionOfInfo,testNames,confidence,perceivedDifficulty,highestLikelihood,likelihoods,numOfDifferentials,correctCountry,likelihoodOfCorrectCountry,incorrectLikelihood,highestLikelihoodCorrect,highestLikelihoodCorrectValue,differentials
p1,1,1,Geography,GREECE,5,5,0,5,10,0.5,"Time Zone (UTC), Is the country landlocked?, Highest Point, Native Animals, Area",63,8,7,"7, 5, 3",3,0,0,5,0,0,"PORTUGAL, SPAIN, NETHERLANDS"
p1,1,2,History & Politics,GREECE,3,3,0,3,9,0.333333333,"Global Passport Power Rank (2022), Does the country have a monarchy?, Most Exported Food Products",84,8,9,"7, 5, 3, 9",4,0,0,6,0,0,"PORTUGAL, SPAIN, NETHERLANDS, ITALY"
p1,1,3,People & Culture,GREECE,2,2,0,2,10,0.2,"Number of FIFA World Cups that the country's team qualified for, and their best performance, Number of Colours in the country's flag",74,8,9,"9, 5, 3, 7",4,0,0,6,0,0,"PORTUGAL, SPAIN, NETHERLANDS, ITALY"
p1,2,1,Geography,MONGOLIA,5,4,0,4,10,0.4,"Highest Point, Native Animals, Time Zone (UTC), Number of other countries it shares a land border with",67,8,7,7,1,1,7,0,1,7,MONGOLIA
p1,2,2,History & Politics,MONGOLIA,5,5,0,5,9,0.555555556,"Does the country have a monarchy?, Global Passport Power Rank (2022), Is the country a member of the OECD, NATO and/or UN?, Most Exported Food Products, GDP per capita in 2022",62,8,8,"7, 8, 5",3,1,7,6.5,0,0,"MONGOLIA, AZERBAIJAN, MOLDOVA"
p1,2,3,People & Culture,MONGOLIA,3,3,0,3,10,0.3,"Number of FIFA World Cups that the country's team qualified for, and their best performance, Most Prevalent Religion, Overall population",71,8,8,"8, 8, 5, 3",4,1,8,5.333333333,1,8,"MONGOLIA, AZERBAIJAN, MOLDOVA, TIBET"
p1,3,1,Geography,BOTSWANA,4,4,0,4,10,0.4,"Highest Point, Number of other countries it shares a land border with, Native Animals, Time Zone (UTC)",70,8,8,"8, 7",2,0,0,7.5,0,0,"KENYA, TANZANIA"
p1,3,2,History & Politics,BOTSWANA,2,2,0,2,9,0.222222222,"Most Exported Food Products, World Happiness Ranking",60,8,8,"8, 7, 4, 4",4,1,4,6.333333333,0,0,"KENYA, TANZANIA, UGANDA, BOTSWANA"
p1,3,3,People & Culture,BOTSWANA,2,2,0,2,10,0.2,"Population in the capital city, Most Prevalent Religion",73,8,9,"8, 7, 4, 4, 9, 4",6,1,4,6.4,0,0,"KENYA, TANZANIA, UGANDA, BOTSWANA, ZIMBABWE, ANGOLA"
p1,4,1,Geography,COLOMBIA,4,4,0,4,10,0.4,"Native Animals, Highest Point, Is the country landlocked?, Number of other countries it shares a land border with",84,8,8,"8, 4",2,0,0,6,0,0,"ARGENTINA, BOLIVIA"
p1,4,2,History & Politics,COLOMBIA,2,2,0,2,9,0.222222222,"Most Exported Food Products, The Economist's Democracy Index Rating",37,8,8,"8, 4, 4",3,0,0,5.333333333,0,0,"ARGENTINA, BOLIVIA, CHILE"
p1,4,3,People & Culture,COLOMBIA,5,5,0,5,10,0.5,"Number of FIFA World Cups that the country's team qualified for, and their best performance, Population in the capital city, Most Prevalent Religion, Number of medals at the Tokyo Olympics, Overall population",63,8,8,"8, 4, 4, 8",4,0,0,6,0,0,"ARGENTINA, BOLIVIA, CHILE, PERU"
p1,5,1,Geography,SWITZERLAND,2,2,0,2,10,0.2,"Native Animals, Time Zone (UTC)",69,8,8,"8, 7",2,0,0,7.5,0,0,"FRANCE, GERMANY"
p1,5,2,History & Politics,SWITZERLAND,2,2,0,2,9,0.222222222,"GDP per capita in 2022, Global Passport Power Rank (2022)",74,8,8,"8, 7",2,0,0,7.5,0,0,"FRANCE, GERMANY"
p1,5,3,People & Culture,SWITZERLAND,2,2,0,2,10,0.2,"Number of Colours in the country's flag, Number of FIFA World Cups that the country's team qualified for, and their best performance",76,8,8,"8, 7, 7, 5, 8",5,1,5,7.5,0,0,"FRANCE, GERMANY, NETHERLANDS, SWITZERLAND, FINLAND"
p1,6,1,Geography,SOUTH KOREA,3,3,0,3,10,0.3,"Highest Point, Native Animals, Time Zone (UTC)",73,9,8,"7, 8, 8, 8",4,1,8,7.666666667,0,0,"JAPAN, TAIWAN, SOUTH KOREA, VIETNAM"
p1,6,2,History & Politics,SOUTH KOREA,2,2,0,2,9,0.222222222,"Global Passport Power Rank (2022), World Happiness Ranking",70,9,9,"9, 8, 8, 8",4,1,8,8.333333333,0,0,"JAPAN, TAIWAN, SOUTH KOREA, VIETNAM"
p1,6,3,People & Culture,SOUTH KOREA,2,2,0,2,10,0.2,"Number of FIFA World Cups that the country's team qualified for, and their best performance, Number of Colours in the country's flag",69,9,9,"9, 8, 8, 8, 7",5,1,8,8,0,0,"JAPAN, TAIWAN, SOUTH KOREA, VIETNAM, MYANMAR"
p2,1,1,Geography,SWITZERLAND,7,7,0,7,10,0.7,"Average Temperature (between 1991-2020), Highest Point, Area, Number of other countries it shares a land border with, % area that is covered by forest, Is the country landlocked?, Native Animals",30,10,4,"4, 3, 3",3,0,0,3.333333333,0,0,"ROMANIA, ALBANIA, SERBIA"
p2,1,2,History & Politics,SWITZERLAND,10,9,3,6,9,0.666666667,"Is the country a member of the OECD, NATO and/or UN?, Does the country have a monarchy?, World Happiness Ranking, Most Exported Food Products, GDP per capita in 2022, Does their government have a prime minister?, % area that is covered by forest, Is the country landlocked?, Native Animals",15,10,5,"4, 3, 3, 5",4,0,0,3.75,0,0,"ROMANIA, ALBANIA, SERBIA, ESTONIA"
p2,1,3,People & Culture,SWITZERLAND,0,0,0,0,10,0,,41,10,5,"4, 3, 3, 5",4,0,0,3.75,0,0,"ROMANIA, ALBANIA, SERBIA, ESTONIA"
p2,2,1,Geography,BOTSWANA,8,8,0,8,10,0.8,"Is the country landlocked?, Time Zone (UTC), % area that is water, Average Temperature (between 1991-2020), Highest Point, Native Animals, Number of other countries it shares a land border with, Area",15,10,4,"3, 2, 3, 4",4,0,0,3,0,0,"ETHOPIA, SUDAN, NAMIBIA, RWANDA"
p2,2,2,History & Politics,BOTSWANA,7,7,0,7,9,0.777777778,"Does their government have a prime minister?, Global Passport Power Rank (2022), The Economist's Democracy Index Rating, World Happiness Ranking, Most Exported Food Products, Does the country have a monarchy?, Is the country a member of the OECD, NATO and/or UN?",8,10,4,"4, 2, 3, 4",4,0,0,3.25,0,0,"ETHOPIA, SUDAN, NAMIBIA, RWANDA"
p2,2,3,People & Culture,BOTSWANA,5,5,0,5,10,0.5,"Overall population, Population in the capital city, Number of Colours in the country's flag, Most Prevalent Religion, Number of FIFA World Cups that the country's team qualified for, and their best performance",4,10,4,"4, 2, 3, 2",4,0,0,2.75,0,0,"ETHOPIA, SUDAN, NAMIBIA, RWANDA"
p2,3,1,Geography,COLOMBIA,5,5,0,5,10,0.5,"Native Animals, Number of other countries it shares a land border with, Area, % area that is water, % area that is covered by forest",43,9,7,"7, 5, 5, 4",4,1,5,5.333333333,0,0,"ARGENTINA, COLUMBIA, CHILE, PARAGUAY"
p2,3,2,History & Politics,COLOMBIA,5,5,0,5,9,0.555555556,"Most Exported Food Products, Is the country a member of the OECD, NATO and/or UN?, Does the country have a monarchy?, World Happiness Ranking, The Economist's Democracy Index Rating",63,9,7,"7, 5, 5, 4",4,1,5,5.333333333,0,0,"ARGENTINA, COLUMBIA, CHILE, PARAGUAY"
p2,3,3,People & Culture,COLOMBIA,4,4,0,4,10,0.4,"% of the population with internet access, Number of Colours in the country's flag, Number of medals at the Tokyo Olympics, Number of FIFA World Cups that the country's team qualified for, and their best performance",55,9,8,"7, 5, 8, 4",4,1,5,6.333333333,0,0,"ARGENTINA, COLUMBIA, CHILE, PARAGUAY"
p2,4,1,Geography,SOUTH KOREA,5,5,0,5,10,0.5,"% area that is covered by forest, Native Animals, Is the country landlocked?, % area that is water, Area",31,9,5,"3, 4, 5",3,0,0,4,0,0,"KAZAKSTAN, UZBEKISTAN, TURKMENISTAN"
p2,4,2,History & Politics,SOUTH KOREA,4,4,0,4,9,0.444444444,"Does their government have a prime minister?, Most Exported Food Products, Does the country have a monarchy?, Global Passport Power Rank (2022)",28,9,5,"4, 4, 5",3,0,0,4.333333333,0,0,"KAZAKSTAN, UZBEKISTAN, TURKMENISTAN"
p2,4,3,People & Culture,SOUTH KOREA,2,2,0,2,10,0.2,"Number of FIFA World Cups that the country's team qualified for, and their best performance, Number of medals at the Tokyo Olympics",55,9,8,"4, 4, 5, 8",4,1,8,4.333333333,1,8,"KAZAKSTAN, UZBEKISTAN, TURKMENISTAN, SOUTH KOREA"
p2,5,1,Geography,MONGOLIA,5,5,0,5,10,0.5,"Native Animals, Is the country landlocked?, % area that is covered by forest, Time Zone (UTC), Highest Point",5,9,6,"6, 4, 5",3,0,0,5,0,0,"TURKMENISTAN, UZBEKISTAN, KAZAKSTAN"
p2,5,2,History & Politics,MONGOLIA,4,4,0,4,9,0.444444444,"Most Exported Food Products, Does their government have a prime minister?, GDP per capita in 2022, Global Passport Power Rank (2022)",7,9,6,"6, 4, 6",3,0,0,5.333333333,0,0,"TURKMENISTAN, UZBEKISTAN, KAZAKSTAN"
p2,5,3,People & Culture,MONGOLIA,5,5,0,5,10,0.5,"Number of Colours in the country's flag, Most Prevalent Religion, Population Density, Number of FIFA World Cups that the country's team qualified for, and their best performance, Number of medals at the Tokyo Olympics",28,9,6,"6, 5, 6",3,0,0,5.666666667,0,0,"TURKMENISTAN, UZBEKISTAN, KAZAKSTAN"
p2,6,1,Geography,GREECE,6,6,0,6,10,0.6,"Native Animals, Area, Number of other countries it shares a land border with, Average Temperature (between 1991-2020), % area that is covered by forest, Is the country landlocked?",17,10,4,"2, 3, 4",3,0,0,3,0,0,"PORTUGAL, SPAIN, CROATIA"
p2,6,2,History & Politics,GREECE,4,4,0,4,9,0.444444444,"Does the country have a monarchy?, Does their government have a prime minister?, Is the country a member of the OECD, NATO and/or UN?, Most Exported Food Products",54,10,8,"2, 3, 4, 8",4,0,0,4.25,0,0,"PORTUGAL, SPAIN, CROATIA, ITALY"
p2,6,3,People & Culture,GREECE,4,4,0,4,10,0.4,"Number of medals at the Tokyo Olympics, Number of Colours in the country's flag, Population in the capital city, % of the population with internet access",31,10,8,"2, 3, 4, 8, 8",5,0,0,5,0,0,"PORTUGAL, SPAIN, CROATIA, ITALY, ROMANIA"
p3,1,1,Geography,MONGOLIA,2,2,0,2,10,0.2,"Native Animals, Number of other countries it shares a land border with",13,8,5,"5, 3",2,0,0,4,0,0,"AFGHANISTAN, RUSSIA"
